original_event_time_msc,tick_index,time_msc,bid,ask,flags
1767391200005,397,1767391230009,4318.090000000000,4318.290000000000,134
1767391200005,398,1767391230070,4318.100000000000,4318.290000000000,130
1767391200005,399,1767391230111,4318.100000000000,4318.280000000000,4
1767391200005,400,1767391230160,4318.100000000000,4318.200000000000,4
1767391200005,401,1767391230173,4318.040000000000,4318.200000000000,130
1767391200005,402,1767391230263,4318.040000000000,4318.210000000000,4
1767391200005,403,1767391230271,4318.030000000000,4318.210000000000,130
1767391200005,404,1767391230314,4318.030000000000,4318.220000000000,4
1767391200005,405,1767391230360,4318.030000000000,4318.180000000000,4
1767391200005,406,1767391230371,4318.010000000000,4318.180000000000,130
1767391200005,407,1767391230411,4318.030000000000,4318.230000000000,134
1767391200005,408,1767391230470,4318.020000000000,4318.220000000000,134
1767391200005,409,1767391230510,4318.020000000000,4318.210000000000,4
1767391200005,410,1767391230659,4318.110000000000,4318.290000000000,134
1767391200005,411,1767391230673,4318.110000000000,4318.310000000000,4
1767391200005,412,1767391231259,4318.100000000000,4318.300000000000,134
1767391200005,413,1767391231359,4318.070000000000,4318.260000000000,134
1767391200005,414,1767391231447,4318.090000000000,4318.260000000000,130
1767391200005,415,1767391231549,4318.070000000000,4318.260000000000,130
1767391200005,416,1767391231810,4318.070000000000,4318.250000000000,4
1767391200005,417,1767391231951,4318.060000000000,4318.250000000000,130
1767391200005,418,1767391232252,4318.090000000000,4318.250000000000,130
1767391200005,419,1767391232353,4318.070000000000,4318.250000000000,130
1767391200005,420,1767391232452,4318.080000000000,4318.250000000000,130
1767391200005,421,1767391232555,4318.050000000000,4318.250000000000,130
1767391200005,422,1767391232612,4318.040000000000,4318.190000000000,134
1767391200005,423,1767391232653,4318.000000000000,4318.190000000000,130
1767391200005,424,1767391232661,4318.000000000000,4318.180000000000,4
1767391200005,425,1767391232871,4318.000000000000,4318.190000000000,4
1767391200005,426,1767391233087,4318.010000000000,4318.190000000000,130
1767391200005,427,1767391233113,4318.010000000000,4318.210000000000,4
1767391200005,428,1767391233261,4318.010000000000,4318.180000000000,4
1767391200005,429,1767391233286,4317.990000000000,4318.180000000000,130
1767391200005,430,1767391233462,4317.990000000000,4318.100000000000,4
1767391200005,431,1767391233488,4317.930000000000,4318.100000000000,130
1767391200005,432,1767391233631,4317.920000000000,4318.100000000000,130
1767391200005,433,1767391233661,4317.920000000000,4318.090000000000,4
