signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
1,XAUUSD,PERIOD_M15,26090401,2026.01.02 13:45:00,2026.01.02 13:45:00,BUY,12,2026.01.03 01:45:00,,,NO_TICK_NEAR_TARGET,4395.06,4395.23,4395.15,17.0,,,,,,,,,4362.59519720,4362.67829270,4363.39679727,4363.00049874
1,XAUUSD,PERIOD_M15,26090401,2026.01.02 13:45:00,2026.01.02 13:45:00,BUY,24,2026.01.03 13:45:00,,,NO_TICK_NEAR_TARGET,4395.06,4395.23,4395.15,17.0,,,,,,,,,4362.59519720,4362.67829270,4363.39679727,4363.00049874
3,XAUUSD,PERIOD_M15,26090401,2026.01.05 05:00:00,2026.01.05 05:00:00,BUY,1,2026.01.05 06:00:00,2026.01.05 06:00:00,0,OK,4405.50,4405.58,4405.54,8.0,4399.95,4400.14,4400.05,19.0,-549.5,-563.0,-12.4729,-12.7792,4359.85840569,4360.00174543,4360.98535864,4360.45446438
3,XAUUSD,PERIOD_M15,26090401,2026.01.05 05:00:00,2026.01.05 05:00:00,BUY,2,2026.01.05 07:00:00,2026.01.05 07:00:00,0,OK,4405.50,4405.58,4405.54,8.0,4404.24,4404.31,4404.27,7.0,-126.5,-134.0,-2.8714,-3.0416,4359.85840569,4360.00174543,4360.98535864,4360.45446438
3,XAUUSD,PERIOD_M15,26090401,2026.01.05 05:00:00,2026.01.05 05:00:00,BUY,4,2026.01.05 09:00:00,2026.01.05 09:00:00,0,OK,4405.50,4405.58,4405.54,8.0,4420.31,4420.40,4420.35,9.0,1481.5,1473.0,33.6281,33.4349,4359.85840569,4360.00174543,4360.98535864,4360.45446438
3,XAUUSD,PERIOD_M15,26090401,2026.01.05 05:00:00,2026.01.05 05:00:00,BUY,8,2026.01.05 13:00:00,2026.01.05 13:00:00,0,OK,4405.50,4405.58,4405.54,8.0,4436.31,4436.41,4436.36,10.0,3082.0,3073.0,69.9574,69.7525,4359.85840569,4360.00174543,4360.98535864,4360.45446438
3,XAUUSD,PERIOD_M15,26090401,2026.01.05 05:00:00,2026.01.05 05:00:00,BUY,12,2026.01.05 17:00:00,2026.01.05 17:00:00,0,OK,4405.50,4405.58,4405.54,8.0,4436.68,4436.88,4436.78,20.0,3124.0,3110.0,70.9107,70.5923,4359.85840569,4360.00174543,4360.98535864,4360.45446438
3,XAUUSD,PERIOD_M15,26090401,2026.01.05 05:00:00,2026.01.05 05:00:00,BUY,24,2026.01.06 05:00:00,2026.01.06 05:00:00,0,OK,4405.50,4405.58,4405.54,8.0,4454.96,4455.12,4455.04,16.0,4950.0,4938.0,112.3585,112.0851,4359.85840569,4360.00174543,4360.98535864,4360.45446438
4,XAUUSD,PERIOD_M15,26090401,2026.01.08 08:15:00,2026.01.08 08:15:00,SELL,1,2026.01.08 09:15:00,2026.01.08 09:15:00,0,OK,4420.97,4421.13,4421.05,16.0,4435.97,4436.15,4436.06,18.0,-1501.0,-1518.0,-33.9512,-34.3364,4449.81505563,4449.78966259,4449.10381969,4449.50329778
4,XAUUSD,PERIOD_M15,26090401,2026.01.08 08:15:00,2026.01.08 08:15:00,SELL,2,2026.01.08 10:15:00,2026.01.08 10:15:00,0,OK,4420.97,4421.13,4421.05,16.0,4425.81,4425.97,4425.89,16.0,-484.0,-500.0,-10.9476,-11.3097,4449.81505563,4449.78966259,4449.10381969,4449.50329778
4,XAUUSD,PERIOD_M15,26090401,2026.01.08 08:15:00,2026.01.08 08:15:00,SELL,4,2026.01.08 12:15:00,2026.01.08 12:15:00,0,OK,4420.97,4421.13,4421.05,16.0,4429.35,4429.53,4429.44,18.0,-839.0,-856.0,-18.9774,-19.3623,4449.81505563,4449.78966259,4449.10381969,4449.50329778
4,XAUUSD,PERIOD_M15,26090401,2026.01.08 08:15:00,2026.01.08 08:15:00,SELL,8,2026.01.08 16:15:00,2026.01.08 16:15:00,0,OK,4420.97,4421.13,4421.05,16.0,4423.48,4423.58,4423.53,10.0,-248.0,-261.0,-5.6095,-5.9037,4449.81505563,4449.78966259,4449.10381969,4449.50329778
4,XAUUSD,PERIOD_M15,26090401,2026.01.08 08:15:00,2026.01.08 08:15:00,SELL,12,2026.01.08 20:15:00,2026.01.08 20:15:00,0,OK,4420.97,4421.13,4421.05,16.0,4453.94,4454.09,4454.01,15.0,-3296.5,-3312.0,-74.5637,-74.9157,4449.81505563,4449.78966259,4449.10381969,4449.50329778
5,XAUUSD,PERIOD_M15,26090401,2026.01.08 23:15:00,2026.01.08 23:15:00,BUY,1,2026.01.09 00:15:00,,,NO_TICK_NEAR_TARGET,4477.93,4478.20,4478.07,27.0,,,,,,,,,4446.05733128,4446.15944921,4446.84431075,4446.47557409
5,XAUUSD,PERIOD_M15,26090401,2026.01.08 23:15:00,2026.01.08 23:15:00,BUY,2,2026.01.09 01:15:00,2026.01.09 01:15:00,0,OK,4477.93,4478.20,4478.07,27.0,4476.98,4477.21,4477.09,23.0,-97.0,-122.0,-2.1661,-2.7243,4446.05733128,4446.15944921,4446.84431075,4446.47557409
5,XAUUSD,PERIOD_M15,26090401,2026.01.08 23:15:00,2026.01.08 23:15:00,BUY,4,2026.01.09 03:15:00,2026.01.09 03:15:00,0,OK,4477.93,4478.20,4478.07,27.0,4459.13,4459.36,4459.24,23.0,-1882.0,-1907.0,-42.0271,-42.5841,4446.05733128,4446.15944921,4446.84431075,4446.47557409
5,XAUUSD,PERIOD_M15,26090401,2026.01.08 23:15:00,2026.01.08 23:15:00,BUY,8,2026.01.09 07:15:00,2026.01.09 07:15:00,0,OK,4477.93,4478.20,4478.07,27.0,4463.05,4463.21,4463.13,16.0,-1493.5,-1515.0,-33.3515,-33.8306,4446.05733128,4446.15944921,4446.84431075,4446.47557409
4,XAUUSD,PERIOD_M15,26090401,2026.01.08 08:15:00,2026.01.08 08:15:00,SELL,24,2026.01.09 08:15:00,2026.01.09 08:15:00,0,OK,4420.97,4421.13,4421.05,16.0,4467.24,4467.44,4467.34,20.0,-4629.0,-4647.0,-104.7036,-105.1127,4449.81505563,4449.78966259,4449.10381969,4449.50329778
