candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,stop_atr_multiplier,m5_atr,m5_atr_points,entry_bid,entry_ask,entry_mid,spread_points,policy_id,policy_type,policy_spec,activated,activation_time,activation_time_msc,time_to_activation_seconds,highest_stage,protection_updates,max_favorable_r,stop_distance,hard_stop_price,final_stop_price,final_locked_r,exit_mode,exit_time,exit_time_msc,exit_ask,holding_seconds,realized_r,realized_bps,ticks_scanned,target_time,target_time_msc,target_delay_milliseconds,target_ask
P2F4_CANDIDATE_S1,1776688500042_SELL,XAUUSD,PERIOD_M5,2026.04.20 12:35:00,1776688500042,2026.04.20 12:35:00,SELL,10,OK,1.250000,3.82,382.36,4786.16,4786.31,4786.24,15.0,STEPLOCK_V1,STEP_LOCK,0.50:-0.25|1.00:0.25|2.00:1.00,NO,,,,0,0,0.232244,4.78,4790.94,4790.94,-1.000000,HARD_SL,2026.04.20 12:44:27,1776689067255,4791.00,567.213,-1.000000,-9.9860,3238,2026.04.20 12:45:00,1776689100056,14,4792.11
P2F4_CANDIDATE_S1,1776688500042_SELL,XAUUSD,PERIOD_M5,2026.04.20 12:35:00,1776688500042,2026.04.20 12:35:00,SELL,10,OK,1.250000,3.82,382.36,4786.16,4786.31,4786.24,15.0,GIVEBACK_100_075,MFE_GIVEBACK,TRIGGER=1.00|GAP=0.75|FLOOR=0.00,NO,,,,0,0,0.232244,4.78,4790.94,4790.94,-1.000000,HARD_SL,2026.04.20 12:44:27,1776689067255,4791.00,567.213,-1.000000,-9.9860,3238,2026.04.20 12:45:00,1776689100056,14,4792.11
P2F4_CANDIDATE_S1,1776694200012_SELL,XAUUSD,PERIOD_M5,2026.04.20 14:10:00,1776694200012,2026.04.20 14:10:00,SELL,10,OK,1.250000,3.55,355.07,4792.66,4792.82,4792.74,16.0,CONTROL,CONTROL,NO_RETENTION,NO,,,,0,0,1.275236,4.44,4797.10,4797.10,-1.000000,TIME_EXIT,2026.04.20 14:20:00,1776694800157,4788.10,600.145,1.027399,9.5145,3394,2026.04.20 14:20:00,1776694800157,145,4788.10
P2F4_CANDIDATE_S1,1776694200012_SELL,XAUUSD,PERIOD_M5,2026.04.20 14:10:00,1776694200012,2026.04.20 14:10:00,SELL,10,OK,1.250000,3.55,355.07,4792.66,4792.82,4792.74,16.0,LEGACY_BE_050,BREAK_EVEN,0.50:0.00,YES,2026.04.20 14:11:32,1776694292012,92.000,1,1,1.275236,4.44,4797.10,4792.66,0.000000,TIME_EXIT,2026.04.20 14:20:00,1776694800157,4788.10,600.145,1.027399,9.5145,3394,2026.04.20 14:20:00,1776694800157,145,4788.10
P2F4_CANDIDATE_S1,1776694200012_SELL,XAUUSD,PERIOD_M5,2026.04.20 14:10:00,1776694200012,2026.04.20 14:10:00,SELL,10,OK,1.250000,3.55,355.07,4792.66,4792.82,4792.74,16.0,STEPLOCK_V1,STEP_LOCK,0.50:-0.25|1.00:0.25|2.00:1.00,YES,2026.04.20 14:11:32,1776694292012,92.000,2,2,1.275236,4.44,4797.10,4791.55,0.250000,TIME_EXIT,2026.04.20 14:20:00,1776694800157,4788.10,600.145,1.027399,9.5145,3394,2026.04.20 14:20:00,1776694800157,145,4788.10
P2F4_CANDIDATE_S1,1776694200012_SELL,XAUUSD,PERIOD_M5,2026.04.20 14:10:00,1776694200012,2026.04.20 14:10:00,SELL,10,OK,1.250000,3.55,355.07,4792.66,4792.82,4792.74,16.0,GIVEBACK_100_075,MFE_GIVEBACK,TRIGGER=1.00|GAP=0.75|FLOOR=0.00,YES,2026.04.20 14:11:44,1776694304889,104.877,1,16,1.230175,4.44,4797.10,4790.53,0.480175,RETENTION_STOP,2026.04.20 14:15:51,1776694551745,4790.58,351.733,0.480175,4.4468,3394,2026.04.20 14:20:00,1776694800157,145,4788.10
P2F4_CANDIDATE_S1,1776770100006_SELL,XAUUSD,PERIOD_M5,2026.04.21 11:15:00,1776770100006,2026.04.21 11:15:00,SELL,10,OK,1.250000,4.97,496.79,4775.94,4776.21,4776.07,27.0,CONTROL,CONTROL,NO_RETENTION,NO,,,,0,0,0.083738,6.21,4782.15,4782.15,-1.000000,HARD_SL,2026.04.21 11:19:35,1776770375948,4782.31,275.942,-1.000000,-13.0023,3726,2026.04.21 11:25:00,1776770700010,4,4786.95
P2F4_CANDIDATE_S1,1776770100006_SELL,XAUUSD,PERIOD_M5,2026.04.21 11:15:00,1776770100006,2026.04.21 11:15:00,SELL,10,OK,1.250000,4.97,496.79,4775.94,4776.21,4776.07,27.0,LEGACY_BE_050,BREAK_EVEN,0.50:0.00,NO,,,,0,0,0.083738,6.21,4782.15,4782.15,-1.000000,HARD_SL,2026.04.21 11:19:35,1776770375948,4782.31,275.942,-1.000000,-13.0023,3726,2026.04.21 11:25:00,1776770700010,4,4786.95
P2F4_CANDIDATE_S1,1776770100006_SELL,XAUUSD,PERIOD_M5,2026.04.21 11:15:00,1776770100006,2026.04.21 11:15:00,SELL,10,OK,1.250000,4.97,496.79,4775.94,4776.21,4776.07,27.0,STEPLOCK_V1,STEP_LOCK,0.50:-0.25|1.00:0.25|2.00:1.00,NO,,,,0,0,0.083738,6.21,4782.15,4782.15,-1.000000,HARD_SL,2026.04.21 11:19:35,1776770375948,4782.31,275.942,-1.000000,-13.0023,3726,2026.04.21 11:25:00,1776770700010,4,4786.95
P2F4_CANDIDATE_S1,1776770100006_SELL,XAUUSD,PERIOD_M5,2026.04.21 11:15:00,1776770100006,2026.04.21 11:15:00,SELL,10,OK,1.250000,4.97,496.79,4775.94,4776.21,4776.07,27.0,GIVEBACK_100_075,MFE_GIVEBACK,TRIGGER=1.00|GAP=0.75|FLOOR=0.00,NO,,,,0,0,0.083738,6.21,4782.15,4782.15,-1.000000,HARD_SL,2026.04.21 11:19:35,1776770375948,4782.31,275.942,-1.000000,-13.0023,3726,2026.04.21 11:25:00,1776770700010,4,4786.95
