research_join_key,signal_time,signal_time_msc,arm,max_layers,layer_index,entry_time_msc,entry_bid,protection_activated,protection_time_msc,exit_mode,exit_time_msc,exit_ask,observed_r,nominal_net_r_1bps,stress_net_r_2bps
1780471800004_SELL,2026.06.03 07:30:00,1780471800004,PYRAMID_L10,10,3,1780471920147,4475.02,YES,1780471980101,PROTECTED_STOP,1780472022511,4475.33,-0.09350929,-0.22849508,-0.36348087
1780471800004_SELL,2026.06.03 07:30:00,1780471800004,PYRAMID_L10,10,4,1780471980101,4474.42,NO,0,TIME_EXIT,1780472400140,4471.79,0.79332076,0.65835307,0.52338538
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,CONTROL_L1,1,1,1780500300041,4457.92,NO,0,TIME_EXIT,1780500900098,4451.70,1.20776699,1.12120544,1.03464388
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L3,3,1,1780500300041,4457.92,YES,1780500500129,TIME_EXIT,1780500900098,4451.70,1.20776699,1.12120544,1.03464388
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L3,3,2,1780500500129,4452.22,NO,0,TIME_EXIT,1780500900098,4451.70,0.10097087,0.01452000,-0.07193087
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L5,5,1,1780500300041,4457.92,YES,1780500420104,TIME_EXIT,1780500900098,4451.70,1.20776699,1.12120544,1.03464388
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L5,5,2,1780500420104,4454.50,YES,1780500540069,PROTECTED_STOP,1780500651562,4454.65,-0.02912621,-0.11562136,-0.20211650
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L5,5,3,1780500540069,4454.10,NO,0,TIME_EXIT,1780500900098,4451.70,0.46601942,0.37953204,0.29304466
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L7,7,1,1780500300041,4457.92,YES,1780500385791,TIME_EXIT,1780500900098,4451.70,1.20776699,1.12120544,1.03464388
1780500300041_SELL,2026.06.03 15:25:00,1780500300041,PYRAMID_L7,7,2,1780500385791,4455.90,YES,1780500471572,PROTECTED_STOP,1780500750849,4456.04,-0.02718447,-0.11370680,-0.20022913
