signal_id,symbol,timeframe,magic,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,target_time,target_time_msc,observed_time,observed_time_msc,delay_milliseconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,entry_spread_bps,future_bid,future_ask,future_mid,future_spread_points,future_spread_bps,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,spread_drag_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
635,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:10:00,1787152200125,2026.08.19 15:10:00,BUY,1,2026.08.19 15:11:00,1787152260125,2026.08.19 15:11:00,1787152260167,42,OK,4367.80,4368.10,4367.95,30.0,0.6868,4367.28,4367.57,4367.42,29.0,0.6640,-52.5,-82.0,-1.2019,-1.8772,0.6753,4366.37850712,4366.43843640,4366.66480569,4366.56312400
635,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:10:00,1787152200125,2026.08.19 15:10:00,BUY,3,2026.08.19 15:13:00,1787152380125,2026.08.19 15:13:00,1787152380138,13,OK,4367.80,4368.10,4367.95,30.0,0.6868,4368.18,4368.44,4368.31,26.0,0.5952,36.0,8.0,0.8242,0.1831,0.6410,4366.37850712,4366.43843640,4366.66480569,4366.56312400
634,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:05:00,1787151900290,2026.08.19 15:05:00,SELL,5,2026.08.19 15:10:00,1787152200290,2026.08.19 15:10:00,1787152200427,137,OK,4363.97,4364.29,4364.13,32.0,0.7333,4367.79,4368.09,4367.94,30.0,0.6868,-381.0,-412.0,-8.7303,-9.4409,0.7107,4366.99313390,4366.69028005,4366.37850712,4366.43843640
635,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:10:00,1787152200125,2026.08.19 15:10:00,BUY,5,2026.08.19 15:15:00,1787152500125,2026.08.19 15:15:00,1787152500132,7,OK,4367.80,4368.10,4367.95,30.0,0.6868,4368.46,4368.78,4368.62,32.0,0.7325,67.0,36.0,1.5339,0.8242,0.7097,4366.37850712,4366.43843640,4366.66480569,4366.56312400
634,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:05:00,1787151900290,2026.08.19 15:05:00,SELL,10,2026.08.19 15:15:00,1787152500290,2026.08.19 15:15:00,1787152500334,44,OK,4363.97,4364.29,4364.13,32.0,0.7333,4368.26,4368.58,4368.42,32.0,0.7325,-429.0,-461.0,-9.8301,-10.5638,0.7336,4366.99313390,4366.69028005,4366.37850712,4366.43843640
635,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:10:00,1787152200125,2026.08.19 15:10:00,BUY,10,2026.08.19 15:20:00,1787152800125,2026.08.19 15:20:00,1787152800208,83,OK,4367.80,4368.10,4367.95,30.0,0.6868,4368.13,4368.38,4368.26,25.0,0.5723,30.5,3.0,0.6983,0.0687,0.6296,4366.37850712,4366.43843640,4366.66480569,4366.56312400
634,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:05:00,1787151900290,2026.08.19 15:05:00,SELL,15,2026.08.19 15:20:00,1787152800290,2026.08.19 15:20:00,1787152800305,15,OK,4363.97,4364.29,4364.13,32.0,0.7333,4368.28,4368.54,4368.41,26.0,0.5952,-428.0,-457.0,-9.8072,-10.4721,0.6649,4366.99313390,4366.69028005,4366.37850712,4366.43843640
635,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:10:00,1787152200125,2026.08.19 15:10:00,BUY,15,2026.08.19 15:25:00,1787153100125,2026.08.19 15:25:00,1787153100172,47,OK,4367.80,4368.10,4367.95,30.0,0.6868,4370.23,4370.55,4370.39,32.0,0.7322,244.0,213.0,5.5861,4.8763,0.7099,4366.37850712,4366.43843640,4366.66480569,4366.56312400
634,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:05:00,1787151900290,2026.08.19 15:05:00,SELL,30,2026.08.19 15:35:00,1787153700290,2026.08.19 15:35:00,1787153700331,41,OK,4363.97,4364.29,4364.13,32.0,0.7333,4384.27,4384.55,4384.41,28.0,0.6386,-2028.0,-2058.0,-46.4697,-47.1589,0.6892,4366.99313390,4366.69028005,4366.37850712,4366.43843640
635,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:10:00,1787152200125,2026.08.19 15:10:00,BUY,30,2026.08.19 15:40:00,1787154000125,2026.08.19 15:40:00,1787154000163,38,OK,4367.80,4368.10,4367.95,30.0,0.6868,4412.49,4412.73,4412.61,24.0,0.5439,4466.0,4439.0,102.2448,101.6231,0.6216,4366.37850712,4366.43843640,4366.66480569,4366.56312400
634,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:05:00,1787151900290,2026.08.19 15:05:00,SELL,60,2026.08.19 16:05:00,1787155500290,2026.08.19 16:05:00,1787155500324,34,OK,4363.97,4364.29,4364.13,32.0,0.7333,4427.51,4428.04,4427.77,53.0,1.1970,-6364.5,-6407.0,-145.8366,-146.8159,0.9792,4366.99313390,4366.69028005,4366.37850712,4366.43843640
635,XAUUSD,PERIOD_M5,26090401,2026.08.19 15:10:00,1787152200125,2026.08.19 15:10:00,BUY,60,2026.08.19 16:10:00,1787155800125,2026.08.19 16:10:00,1787155800134,9,OK,4367.80,4368.10,4367.95,30.0,0.6868,4441.77,4442.19,4441.98,42.0,0.9455,7403.0,7367.0,169.4845,168.6546,0.8300,4366.37850712,4366.43843640,4366.66480569,4366.56312400
636,XAUUSD,PERIOD_M5,26090401,2026.08.19 20:45:00,1787172300034,2026.08.19 20:45:00,SELL,1,2026.08.19 20:46:00,1787172360034,2026.08.19 20:46:00,1787172360320,286,OK,4488.41,4488.82,4488.61,41.0,0.9134,4488.21,4488.71,4488.46,50.0,1.1140,15.5,-30.0,0.3453,-0.6684,1.0137,4490.23714335,4490.20137750,4489.87171468,4490.03852500
636,XAUUSD,PERIOD_M5,26090401,2026.08.19 20:45:00,1787172300034,2026.08.19 20:45:00,SELL,3,2026.08.19 20:48:00,1787172480034,2026.08.19 20:48:00,1787172480098,64,OK,4488.41,4488.82,4488.61,41.0,0.9134,4487.94,4488.34,4488.14,40.0,0.8912,47.5,7.0,1.0582,0.1560,0.9023,4490.23714335,4490.20137750,4489.87171468,4490.03852500
636,XAUUSD,PERIOD_M5,26090401,2026.08.19 20:45:00,1787172300034,2026.08.19 20:45:00,SELL,5,2026.08.19 20:50:00,1787172600034,2026.08.19 20:50:00,1787172600075,41,OK,4488.41,4488.82,4488.61,41.0,0.9134,4488.10,4488.56,4488.33,46.0,1.0249,28.5,-15.0,0.6349,-0.3342,0.9691,4490.23714335,4490.20137750,4489.87171468,4490.03852500
636,XAUUSD,PERIOD_M5,26090401,2026.08.19 20:45:00,1787172300034,2026.08.19 20:45:00,SELL,10,2026.08.19 20:55:00,1787172900034,2026.08.19 20:55:00,1787172900087,53,OK,4488.41,4488.82,4488.61,41.0,0.9134,4486.28,4486.74,4486.51,46.0,1.0253,210.5,167.0,4.6896,3.7207,0.9689,4490.23714335,4490.20137750,4489.87171468,4490.03852500
636,XAUUSD,PERIOD_M5,26090401,2026.08.19 20:45:00,1787172300034,2026.08.19 20:45:00,SELL,15,2026.08.19 21:00:00,1787173200034,2026.08.19 21:00:00,1787173200060,26,OK,4488.41,4488.82,4488.61,41.0,0.9134,4486.99,4487.37,4487.18,38.0,0.8469,143.5,104.0,3.1970,2.3171,0.8799,4490.23714335,4490.20137750,4489.87171468,4490.03852500
637,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:05:00,1787173500042,2026.08.19 21:05:00,BUY,1,2026.08.19 21:06:00,1787173560042,2026.08.19 21:06:00,1787173560114,72,OK,4495.41,4495.89,4495.65,48.0,1.0677,4489.09,4489.52,4489.31,43.0,0.9578,-634.5,-680.0,-14.1136,-15.1249,1.0113,4488.46231792,4489.28966566,4489.85185433,4489.84605969
637,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:05:00,1787173500042,2026.08.19 21:05:00,BUY,3,2026.08.19 21:08:00,1787173680042,2026.08.19 21:08:00,1787173680050,8,OK,4495.41,4495.89,4495.65,48.0,1.0677,4489.53,4489.96,4489.74,43.0,0.9577,-590.5,-636.0,-13.1349,-14.1463,1.0113,4488.46231792,4489.28966566,4489.85185433,4489.84605969
638,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:10:00,1787173800101,2026.08.19 21:10:00,SELL,1,2026.08.19 21:11:00,1787173860101,2026.08.19 21:11:00,1787173860133,32,OK,4488.71,4489.12,4488.91,41.0,0.9134,4488.53,4489.04,4488.78,51.0,1.1362,13.0,-33.0,0.2896,-0.7352,1.0248,4489.85185433,4489.84605969,4489.62948347,4489.74550881
638,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:10:00,1787173800101,2026.08.19 21:10:00,SELL,3,2026.08.19 21:13:00,1787173980101,2026.08.19 21:13:00,1787173980109,8,OK,4488.71,4489.12,4488.91,41.0,0.9134,4488.32,4488.76,4488.54,44.0,0.9803,37.5,-5.0,0.8354,-0.1114,0.9468,4489.85185433,4489.84605969,4489.62948347,4489.74550881
637,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:05:00,1787173500042,2026.08.19 21:05:00,BUY,5,2026.08.19 21:10:00,1787173800042,2026.08.19 21:10:00,1787173800101,59,OK,4495.41,4495.89,4495.65,48.0,1.0677,4488.71,4489.12,4488.91,41.0,0.9134,-673.5,-718.0,-14.9811,-15.9701,0.9890,4488.46231792,4489.28966566,4489.85185433,4489.84605969
638,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:10:00,1787173800101,2026.08.19 21:10:00,SELL,5,2026.08.19 21:15:00,1787174100101,2026.08.19 21:15:00,1787174100298,197,OK,4488.71,4489.12,4488.91,41.0,0.9134,4487.69,4488.16,4487.92,47.0,1.0473,99.0,55.0,2.2054,1.2253,0.9801,4489.85185433,4489.84605969,4489.62948347,4489.74550881
637,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:05:00,1787173500042,2026.08.19 21:05:00,BUY,10,2026.08.19 21:15:00,1787174100042,2026.08.19 21:15:00,1787174100098,56,OK,4495.41,4495.89,4495.65,48.0,1.0677,4487.77,4488.16,4487.97,39.0,0.8690,-768.5,-812.0,-17.0943,-18.0609,0.9666,4488.46231792,4489.28966566,4489.85185433,4489.84605969
636,XAUUSD,PERIOD_M5,26090401,2026.08.19 20:45:00,1787172300034,2026.08.19 20:45:00,SELL,30,2026.08.19 21:15:00,1787174100034,2026.08.19 21:15:00,1787174100098,64,OK,4488.41,4488.82,4488.61,41.0,0.9134,4487.77,4488.16,4487.97,39.0,0.8690,65.0,25.0,1.4481,0.5570,0.8911,4490.23714335,4490.20137750,4489.87171468,4490.03852500
638,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:10:00,1787173800101,2026.08.19 21:10:00,SELL,10,2026.08.19 21:20:00,1787174400101,2026.08.19 21:20:00,1787174400103,2,OK,4488.71,4489.12,4488.91,41.0,0.9134,4484.69,4485.18,4484.93,49.0,1.0925,398.0,353.0,8.8663,7.8642,1.0021,4489.85185433,4489.84605969,4489.62948347,4489.74550881
637,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:05:00,1787173500042,2026.08.19 21:05:00,BUY,15,2026.08.19 21:20:00,1787174400042,2026.08.19 21:20:00,1787174400055,13,OK,4495.41,4495.89,4495.65,48.0,1.0677,4484.70,4485.19,4484.94,49.0,1.0925,-1070.5,-1119.0,-23.8119,-24.8894,1.0775,4488.46231792,4489.28966566,4489.85185433,4489.84605969
638,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:10:00,1787173800101,2026.08.19 21:10:00,SELL,15,2026.08.19 21:25:00,1787174700101,2026.08.19 21:25:00,1787174700110,9,OK,4488.71,4489.12,4488.91,41.0,0.9134,4481.44,4481.78,4481.61,34.0,0.7587,730.5,693.0,16.2734,15.4387,0.8347,4489.85185433,4489.84605969,4489.62948347,4489.74550881
637,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:05:00,1787173500042,2026.08.19 21:05:00,BUY,30,2026.08.19 21:35:00,1787175300042,2026.08.19 21:35:00,1787175300082,40,OK,4495.41,4495.89,4495.65,48.0,1.0677,4480.67,4480.96,4480.82,29.0,0.6472,-1483.5,-1522.0,-32.9986,-33.8531,0.8546,4488.46231792,4489.28966566,4489.85185433,4489.84605969
638,XAUUSD,PERIOD_M5,26090401,2026.08.19 21:10:00,1787173800101,2026.08.19 21:10:00,SELL,30,2026.08.19 21:40:00,1787175600101,2026.08.19 21:40:00,1787175600130,29,OK,4488.71,4489.12,4488.91,41.0,0.9134,4484.17,4484.28,4484.23,11.0,0.2453,469.0,443.0,10.4480,9.8692,0.5788,4489.85185433,4489.84605969,4489.62948347,4489.74550881
636,XAUUSD,PERIOD_M5,26090401,2026.08.19 20:45:00,1787172300034,2026.08.19 20:45:00,SELL,60,2026.08.19 21:45:00,1787175900034,2026.08.19 21:45:00,1787175900075,41,OK,4488.41,4488.82,4488.61,41.0,0.9134,4490.44,4490.73,4490.58,29.0,0.6458,-197.0,-232.0,-4.3889,-5.1689,0.7800,4490.23714335,4490.20137750,4489.87171468,4490.03852500
