candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,gate_result,gate_reason,research_horizon_minutes,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_trend,entry_bid,entry_ask,entry_mid,spread_points
P2F4_CANDIDATE_S1,1769000700136_SELL,XAUUSD,PERIOD_M5,2026.01.21 13:05:00,1769000700136,2026.01.21 13:05:00,SELL,REJECT,M15_NOT_BEARISH,10,4858.83224255,4835.46017678,BULLISH,4861.67,4861.85,4861.76,18.0
P2F4_CANDIDATE_S1,1769001000014_BUY,XAUUSD,PERIOD_M5,2026.01.21 13:10:00,1769001000014,2026.01.21 13:10:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4864.05,4864.23,4864.14,18.0
P2F4_CANDIDATE_S1,1769003400051_SELL,XAUUSD,PERIOD_M5,2026.01.21 13:50:00,1769003400051,2026.01.21 13:50:00,SELL,REJECT,M15_NOT_BEARISH,10,4860.36878865,4838.78052437,BULLISH,4860.77,4860.92,4860.85,15.0
P2F4_CANDIDATE_S1,1769004000063_BUY,XAUUSD,PERIOD_M5,2026.01.21 14:00:00,1769004000063,2026.01.21 14:00:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4866.84,4867.00,4866.92,16.0
P2F4_CANDIDATE_S1,1769004900036_SELL,XAUUSD,PERIOD_M5,2026.01.21 14:15:00,1769004900036,2026.01.21 14:15:00,SELL,REJECT,M15_NOT_BEARISH,10,4861.10079978,4840.75615494,BULLISH,4862.20,4862.36,4862.28,16.0
P2F4_CANDIDATE_S1,1769006400084_BUY,XAUUSD,PERIOD_M5,2026.01.21 14:40:00,1769006400084,2026.01.21 14:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4866.44,4866.63,4866.53,19.0
P2F4_CANDIDATE_S1,1769007000045_SELL,XAUUSD,PERIOD_M5,2026.01.21 14:50:00,1769007000045,2026.01.21 14:50:00,SELL,REJECT,M15_NOT_BEARISH,10,4861.82782023,4842.62783853,BULLISH,4858.86,4858.97,4858.91,11.0
P2F4_CANDIDATE_S1,1769008200011_BUY,XAUUSD,PERIOD_M5,2026.01.21 15:10:00,1769008200011,2026.01.21 15:10:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4868.72,4868.88,4868.80,16.0
P2F4_CANDIDATE_S1,1769012100026_SELL,XAUUSD,PERIOD_M5,2026.01.21 16:15:00,1769012100026,2026.01.21 16:15:00,SELL,REJECT,M15_NOT_BEARISH,10,4864.01111879,4847.84090117,BULLISH,4844.66,4844.85,4844.76,19.0
P2F4_CANDIDATE_S1,1769027700008_BUY,XAUUSD,PERIOD_M5,2026.01.21 20:35:00,1769027700008,2026.01.21 20:35:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4835.23,4835.40,4835.31,17.0
P2F4_CANDIDATE_S1,1769031300019_SELL,XAUUSD,PERIOD_M5,2026.01.21 21:35:00,1769031300019,2026.01.21 21:35:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,4837.91565732,4841.13753202,BEARISH,4805.83,4806.03,4805.93,20.0
P2F4_CANDIDATE_S1,1769036100001_BUY,XAUUSD,PERIOD_M5,2026.01.21 22:55:00,1769036100001,2026.01.21 22:55:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4824.01,4824.20,4824.10,19.0
P2F4_CANDIDATE_S1,1769044800059_SELL,XAUUSD,PERIOD_M5,2026.01.22 01:20:00,1769044800059,2026.01.22 01:20:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,4823.33979141,4831.10704079,BEARISH,4803.29,4803.52,4803.41,23.0
P2F4_CANDIDATE_S1,1769052300011_BUY,XAUUSD,PERIOD_M5,2026.01.22 03:25:00,1769052300011,2026.01.22 03:25:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4807.79,4807.95,4807.87,16.0
P2F4_CANDIDATE_S1,1769055300007_SELL,XAUUSD,PERIOD_M5,2026.01.22 04:15:00,1769055300007,2026.01.22 04:15:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,4802.49719805,4816.48527999,BEARISH,4793.51,4793.73,4793.62,22.0
P2F4_CANDIDATE_S1,1769060400020_BUY,XAUUSD,PERIOD_M5,2026.01.22 05:40:00,1769060400020,2026.01.22 05:40:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4792.97,4793.20,4793.09,23.0
P2F4_CANDIDATE_S1,1769078700033_SELL,XAUUSD,PERIOD_M5,2026.01.22 10:45:00,1769078700033,2026.01.22 10:45:00,SELL,REJECT,M15_NOT_BEARISH,10,4819.00707741,4815.03688193,BULLISH,4826.61,4826.78,4826.69,17.0
P2F4_CANDIDATE_S1,1769079300026_BUY,XAUUSD,PERIOD_M5,2026.01.22 10:55:00,1769079300026,2026.01.22 10:55:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4830.04,4830.23,4830.14,19.0
P2F4_CANDIDATE_S1,1769082000010_SELL,XAUUSD,PERIOD_M5,2026.01.22 11:40:00,1769082000010,2026.01.22 11:40:00,SELL,REJECT,M15_NOT_BEARISH,10,4822.10881805,4816.84143160,BULLISH,4820.67,4820.82,4820.74,15.0
P2F4_CANDIDATE_S1,1769085900001_BUY,XAUUSD,PERIOD_M5,2026.01.22 12:45:00,1769085900001,2026.01.22 12:45:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4828.18,4828.35,4828.27,17.0
P2F4_CANDIDATE_S1,1769091300003_SELL,XAUUSD,PERIOD_M5,2026.01.22 14:15:00,1769091300003,2026.01.22 14:15:00,SELL,REJECT,M15_NOT_BEARISH,10,4825.32082350,4820.27776135,BULLISH,4824.83,4825.01,4824.92,18.0
P2F4_CANDIDATE_S1,1769091900005_BUY,XAUUSD,PERIOD_M5,2026.01.22 14:25:00,1769091900005,2026.01.22 14:25:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4830.74,4830.91,4830.82,17.0
P2F4_CANDIDATE_S1,1769094000067_SELL,XAUUSD,PERIOD_M5,2026.01.22 15:00:00,1769094000067,2026.01.22 15:00:00,SELL,REJECT,M15_NOT_BEARISH,10,4825.65395188,4821.02070595,BULLISH,4819.71,4819.84,4819.77,13.0
P2F4_CANDIDATE_S1,1769095500011_BUY,XAUUSD,PERIOD_M5,2026.01.22 15:25:00,1769095500011,2026.01.22 15:25:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4834.07,4834.23,4834.15,16.0
P2F4_CANDIDATE_S1,1769096100006_SELL,XAUUSD,PERIOD_M5,2026.01.22 15:35:00,1769096100006,2026.01.22 15:35:00,SELL,REJECT,M15_NOT_BEARISH,10,4825.92266809,4821.48994041,BULLISH,4822.54,4822.70,4822.62,16.0
P2F4_CANDIDATE_S1,1769099400006_BUY,XAUUSD,PERIOD_M5,2026.01.22 16:30:00,1769099400006,2026.01.22 16:30:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4829.41,4829.57,4829.49,16.0
P2F4_CANDIDATE_S1,1769145600011_SELL,XAUUSD,PERIOD_M5,2026.01.23 05:20:00,1769145600011,2026.01.23 05:20:00,SELL,REJECT,M15_NOT_BEARISH,10,4945.10143838,4915.79228516,BULLISH,4939.38,4939.61,4939.49,23.0
P2F4_CANDIDATE_S1,1769149800040_BUY,XAUUSD,PERIOD_M5,2026.01.23 06:30:00,1769149800040,2026.01.23 06:30:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4952.90,4953.10,4953.00,20.0
P2F4_CANDIDATE_S1,1769157000010_SELL,XAUUSD,PERIOD_M5,2026.01.23 08:30:00,1769157000010,2026.01.23 08:30:00,SELL,REJECT,M15_NOT_BEARISH,10,4952.38526744,4931.54590692,BULLISH,4953.01,4953.20,4953.10,19.0
P2F4_CANDIDATE_S1,1769171400008_BUY,XAUUSD,PERIOD_M5,2026.01.23 12:30:00,1769171400008,2026.01.23 12:30:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4929.42,4929.62,4929.52,20.0
P2F4_CANDIDATE_S1,1769174100008_SELL,XAUUSD,PERIOD_M5,2026.01.23 13:15:00,1769174100008,2026.01.23 13:15:00,SELL,ELIGIBLE,S1_SELL_M15_BEARISH,10,4929.86172366,4929.92055020,BEARISH,4918.50,4918.69,4918.59,19.0
P2F4_CANDIDATE_S1,1769176200049_BUY,XAUUSD,PERIOD_M5,2026.01.23 13:50:00,1769176200049,2026.01.23 13:50:00,BUY,REJECT,SIDE_NOT_SELL,10,0.00000000,0.00000000,UNKNOWN,4925.95,4926.11,4926.03,16.0
P2F4_CANDIDATE_S1,1769200800079_SELL,XAUUSD,PERIOD_M5,2026.01.23 20:40:00,1769200800079,2026.01.23 20:40:00,SELL,REJECT,M15_NOT_BEARISH,10,4965.68650471,4950.35192952,BULLISH,4971.01,4971.21,4971.11,20.0
