candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,stop_atr_multiplier,m5_atr,m5_atr_points,entry_bid,entry_ask,entry_mid,spread_points,policy_id,policy_type,trigger_r,initial_lock_r,trail_gap_r,activated,activation_time,activation_time_msc,time_to_activation_seconds,max_favorable_r,stop_distance,hard_stop_price,final_stop_price,final_locked_r,exit_mode,exit_time,exit_time_msc,exit_ask,holding_seconds,realized_r,realized_bps,ticks_scanned,target_time,target_time_msc,target_delay_milliseconds,target_ask
P2F4_CANDIDATE_S1,1773651600077_SELL,XAUUSD,PERIOD_M5,2026.03.16 09:00:00,1773651600077,2026.03.16 09:00:00,SELL,10,OK,1.250000,6.45,644.79,5012.16,5012.34,5012.25,18.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,NO,,,,0.303977,8.06,5020.22,5020.22,-1.000000,TIME_EXIT,2026.03.16 09:10:00,1773652200081,5015.55,600.004,-0.420605,-6.7636,3812,2026.03.16 09:10:00,1773652200081,4,5015.55
P2F4_CANDIDATE_S1,1773651600077_SELL,XAUUSD,PERIOD_M5,2026.03.16 09:00:00,1773651600077,2026.03.16 09:00:00,SELL,10,OK,1.250000,6.45,644.79,5012.16,5012.34,5012.25,18.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,NO,,,,0.303977,8.06,5020.22,5020.22,-1.000000,TIME_EXIT,2026.03.16 09:10:00,1773652200081,5015.55,600.004,-0.420605,-6.7636,3812,2026.03.16 09:10:00,1773652200081,4,5015.55
P2F4_CANDIDATE_S1,1773690000072_SELL,XAUUSD,PERIOD_M5,2026.03.16 19:40:00,1773690000072,2026.03.16 19:40:00,SELL,10,OK,1.250000,5.92,591.50,4986.44,4986.64,4986.54,20.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,0.151479,7.39,4993.83,4993.83,-1.000000,TIME_EXIT,2026.03.16 19:50:00,1773690600110,4986.42,600.038,0.002705,0.0401,4731,2026.03.16 19:50:00,1773690600110,38,4986.42
P2F4_CANDIDATE_S1,1773690000072_SELL,XAUUSD,PERIOD_M5,2026.03.16 19:40:00,1773690000072,2026.03.16 19:40:00,SELL,10,OK,1.250000,5.92,591.50,4986.44,4986.64,4986.54,20.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,NO,,,,0.151479,7.39,4993.83,4993.83,-1.000000,TIME_EXIT,2026.03.16 19:50:00,1773690600110,4986.42,600.038,0.002705,0.0401,4731,2026.03.16 19:50:00,1773690600110,38,4986.42
P2F4_CANDIDATE_S1,1773690000072_SELL,XAUUSD,PERIOD_M5,2026.03.16 19:40:00,1773690000072,2026.03.16 19:40:00,SELL,10,OK,1.250000,5.92,591.50,4986.44,4986.64,4986.54,20.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,NO,,,,0.151479,7.39,4993.83,4993.83,-1.000000,TIME_EXIT,2026.03.16 19:50:00,1773690600110,4986.42,600.038,0.002705,0.0401,4731,2026.03.16 19:50:00,1773690600110,38,4986.42
P2F4_CANDIDATE_S1,1773690000072_SELL,XAUUSD,PERIOD_M5,2026.03.16 19:40:00,1773690000072,2026.03.16 19:40:00,SELL,10,OK,1.250000,5.92,591.50,4986.44,4986.64,4986.54,20.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,NO,,,,0.151479,7.39,4993.83,4993.83,-1.000000,TIME_EXIT,2026.03.16 19:50:00,1773690600110,4986.42,600.038,0.002705,0.0401,4731,2026.03.16 19:50:00,1773690600110,38,4986.42
P2F4_CANDIDATE_S1,1773756000030_SELL,XAUUSD,PERIOD_M5,2026.03.17 14:00:00,1773756000030,2026.03.17 14:00:00,SELL,10,OK,1.250000,4.20,419.64,5003.25,5003.42,5003.34,17.0,CONTROL,CONTROL,0.000000,0.000000,0.000000,NO,,,,0.699643,5.25,5008.50,5008.50,-1.000000,TIME_EXIT,2026.03.17 14:10:00,1773756600121,5007.45,600.091,-0.800681,-8.3945,2117,2026.03.17 14:10:00,1773756600121,91,5007.45
P2F4_CANDIDATE_S1,1773756000030_SELL,XAUUSD,PERIOD_M5,2026.03.17 14:00:00,1773756000030,2026.03.17 14:00:00,SELL,10,OK,1.250000,4.20,419.64,5003.25,5003.42,5003.34,17.0,BE_050,BREAK_EVEN,0.500000,0.000000,0.000000,YES,2026.03.17 14:01:43,1773756103650,103.620,0.699643,5.25,5008.50,5003.25,0.000000,RETENTION_STOP,2026.03.17 14:04:13,1773756253564,5003.32,253.534,0.000000,0.0000,2117,2026.03.17 14:10:00,1773756600121,91,5007.45
P2F4_CANDIDATE_S1,1773756000030_SELL,XAUUSD,PERIOD_M5,2026.03.17 14:00:00,1773756000030,2026.03.17 14:00:00,SELL,10,OK,1.250000,4.20,419.64,5003.25,5003.42,5003.34,17.0,LOCK_075_025,LOCK,0.750000,0.250000,0.000000,NO,,,,0.699643,5.25,5008.50,5008.50,-1.000000,TIME_EXIT,2026.03.17 14:10:00,1773756600121,5007.45,600.091,-0.800681,-8.3945,2117,2026.03.17 14:10:00,1773756600121,91,5007.45
P2F4_CANDIDATE_S1,1773756000030_SELL,XAUUSD,PERIOD_M5,2026.03.17 14:00:00,1773756000030,2026.03.17 14:00:00,SELL,10,OK,1.250000,4.20,419.64,5003.25,5003.42,5003.34,17.0,TRAIL_100_050,TRAIL,1.000000,0.000000,0.500000,NO,,,,0.699643,5.25,5008.50,5008.50,-1.000000,TIME_EXIT,2026.03.17 14:10:00,1773756600121,5007.45,600.091,-0.800681,-8.3945,2117,2026.03.17 14:10:00,1773756600121,91,5007.45
