signal_id,symbol,timeframe,magic,signal_time,signal_bar_time,side,horizon_hours,target_time,observed_time,delay_seconds,status,entry_bid,entry_ask,entry_mid,entry_spread_points,future_bid,future_ask,future_mid,future_spread_points,mid_return_points,executable_return_points,mid_return_bps,executable_return_bps,fast_ema_bar2,slow_ema_bar2,fast_ema_bar1,slow_ema_bar1
31,XAUUSD,PERIOD_H1,26090401,2025.05.08 14:00:00,2025.05.08 14:00:00,SELL,12,2025.05.09 02:00:00,2025.05.09 02:00:00,0,OK,3342.19,3342.37,3342.28,18.0,3323.84,3324.02,3323.93,18.0,1835.0,1817.0,54.9026,54.3656,3367.63742453,3366.73132956,3365.22338410,3365.77284605
31,XAUUSD,PERIOD_H1,26090401,2025.05.08 14:00:00,2025.05.08 14:00:00,SELL,24,2025.05.09 14:00:00,2025.05.09 14:00:00,0,OK,3342.19,3342.37,3342.28,18.0,3323.33,3323.51,3323.42,18.0,1886.0,1868.0,56.4285,55.8915,3367.63742453,3366.73132956,3365.22338410,3365.77284605
32,XAUUSD,PERIOD_H1,26090401,2025.05.16 04:00:00,2025.05.16 04:00:00,BUY,1,2025.05.16 05:00:00,2025.05.16 05:00:00,0,OK,3243.16,3243.31,3243.23,15.0,3222.11,3222.26,3222.19,15.0,-2105.0,-2120.0,-64.9043,-65.3653,3208.48472660,3208.51938702,3211.78618121,3209.87745027
32,XAUUSD,PERIOD_H1,26090401,2025.05.16 04:00:00,2025.05.16 04:00:00,BUY,2,2025.05.16 06:00:00,2025.05.16 06:00:00,0,OK,3243.16,3243.31,3243.23,15.0,3215.34,3215.49,3215.41,15.0,-2782.0,-2797.0,-85.7786,-86.2391,3208.48472660,3208.51938702,3211.78618121,3209.87745027
32,XAUUSD,PERIOD_H1,26090401,2025.05.16 04:00:00,2025.05.16 04:00:00,BUY,4,2025.05.16 08:00:00,2025.05.16 08:00:00,0,OK,3243.16,3243.31,3243.23,15.0,3219.58,3219.73,3219.65,15.0,-2358.0,-2373.0,-72.7052,-73.1660,3208.48472660,3208.51938702,3211.78618121,3209.87745027
32,XAUUSD,PERIOD_H1,26090401,2025.05.16 04:00:00,2025.05.16 04:00:00,BUY,8,2025.05.16 12:00:00,2025.05.16 12:00:00,0,OK,3243.16,3243.31,3243.23,15.0,3207.32,3207.46,3207.39,14.0,-3584.5,-3599.0,-110.5224,-110.9669,3208.48472660,3208.51938702,3211.78618121,3209.87745027
33,XAUUSD,PERIOD_H1,26090401,2025.05.16 14:00:00,2025.05.16 14:00:00,SELL,1,2025.05.16 15:00:00,2025.05.16 15:00:00,0,OK,3175.97,3176.12,3176.05,15.0,3163.30,3163.45,3163.38,15.0,1267.0,1252.0,39.8924,39.4210,3212.59856982,3211.04816484,3209.06632508,3209.65451131
33,XAUUSD,PERIOD_H1,26090401,2025.05.16 14:00:00,2025.05.16 14:00:00,SELL,2,2025.05.16 16:00:00,2025.05.16 16:00:00,0,OK,3175.97,3176.12,3176.05,15.0,3177.50,3177.65,3177.57,15.0,-153.0,-168.0,-4.8173,-5.2897,3212.59856982,3211.04816484,3209.06632508,3209.65451131
32,XAUUSD,PERIOD_H1,26090401,2025.05.16 04:00:00,2025.05.16 04:00:00,BUY,12,2025.05.16 16:00:00,2025.05.16 16:00:00,0,OK,3243.16,3243.31,3243.23,15.0,3177.50,3177.65,3177.57,15.0,-6566.0,-6581.0,-202.4522,-202.9100,3208.48472660,3208.51938702,3211.78618121,3209.87745027
33,XAUUSD,PERIOD_H1,26090401,2025.05.16 14:00:00,2025.05.16 14:00:00,SELL,4,2025.05.16 18:00:00,2025.05.16 18:00:00,0,OK,3175.97,3176.12,3176.05,15.0,3173.27,3173.40,3173.34,13.0,271.0,257.0,8.5326,8.0920,3212.59856982,3211.04816484,3209.06632508,3209.65451131
