research_join_key,signal_time,signal_time_msc,arm,max_layers,status,base_entry_bid,m5_atr,stop_distance,layers_opened,checkpoint_pass_count,checkpoint_reject_count,checkpoint_missing_count,protected_exit_count,hard_sl_exit_count,time_exit_count,gross_total_r,nominal_total_r_1bps,stress_total_r_2bps,incremental_gross_r_vs_control,incremental_nominal_r_vs_control,incremental_stress_r_vs_control
1780353900068_SELL,2026.06.01 22:45:00,1780353900068,PYRAMID_L10,10,OK,4483.52,2.02,2.53,2,1,8,0,1,0,1,1.09470713,0.74034845,0.38598978,-0.20550459,-0.38267404,-0.55984350
1780368600011_SELL,2026.06.02 02:50:00,1780368600011,CONTROL_L1,1,OK,4481.12,2.90,3.62,1,0,0,0,0,1,0,-1.01642417,-1.14019370,-1.26396323,0.00000000,0.00000000,0.00000000
1780368600011_SELL,2026.06.02 02:50:00,1780368600011,PYRAMID_L3,3,OK,4481.12,2.90,3.62,1,0,2,0,0,1,0,-1.01642417,-1.14019370,-1.26396323,0.00000000,0.00000000,0.00000000
1780368600011_SELL,2026.06.02 02:50:00,1780368600011,PYRAMID_L5,5,OK,4481.12,2.90,3.62,1,0,4,0,0,1,0,-1.01642417,-1.14019370,-1.26396323,0.00000000,0.00000000,0.00000000
1780368600011_SELL,2026.06.02 02:50:00,1780368600011,PYRAMID_L7,7,OK,4481.12,2.90,3.62,1,0,6,0,0,1,0,-1.01642417,-1.14019370,-1.26396323,0.00000000,0.00000000,0.00000000
1780368600011_SELL,2026.06.02 02:50:00,1780368600011,PYRAMID_L10,10,OK,4481.12,2.90,3.62,1,0,9,0,0,1,0,-1.01642417,-1.14019370,-1.26396323,0.00000000,0.00000000,0.00000000
1780372800001_SELL,2026.06.02 04:00:00,1780372800001,CONTROL_L1,1,OK,4481.37,4.68,5.86,1,0,0,0,0,0,1,0.30570296,0.22916843,0.15263390,0.00000000,0.00000000,0.00000000
1780372800001_SELL,2026.06.02 04:00:00,1780372800001,PYRAMID_L3,3,OK,4481.37,4.68,5.86,1,0,2,0,0,0,1,0.30570296,0.22916843,0.15263390,0.00000000,0.00000000,0.00000000
1780372800001_SELL,2026.06.02 04:00:00,1780372800001,PYRAMID_L5,5,OK,4481.37,4.68,5.86,2,1,3,0,1,1,0,-1.00933211,-1.16234379,-1.31535546,-1.31503507,-1.39151222,-1.46798936
1780372800001_SELL,2026.06.02 04:00:00,1780372800001,PYRAMID_L7,7,OK,4481.37,4.68,5.86,2,1,5,0,1,1,0,-1.02470265,-1.17765711,-1.33061158,-1.33040561,-1.40682554,-1.48324548
1780372800001_SELL,2026.06.02 04:00:00,1780372800001,PYRAMID_L10,10,OK,4481.37,4.68,5.86,3,2,7,0,2,1,0,-1.03665752,-1.26615932,-1.49566112,-1.34236048,-1.49532775,-1.64829502
1780375200009_SELL,2026.06.02 04:40:00,1780375200009,CONTROL_L1,1,OK,4481.86,7.03,8.78,1,0,0,0,0,0,1,0.70932195,0.65829335,0.60726475,0.00000000,0.00000000,0.00000000
1780375200009_SELL,2026.06.02 04:40:00,1780375200009,PYRAMID_L3,3,OK,4481.86,7.03,8.78,2,1,1,0,1,0,1,0.39052557,0.28849228,0.18645899,-0.31879638,-0.36980107,-0.42080576
