position_id,symbol,timeframe,magic,side,entry_deal_id,exit_deal_id,entry_order_id,exit_order_id,entry_time,exit_time,holding_seconds,holding_hours,entry_volume,exit_volume,entry_price,exit_price,initial_sl,initial_tp,gross_pnl,commission,swap,fee,net_pnl,mt5_exit_reason,strategy_exit_reason,balance_after,diagnostics_status,ticks_scanned,best_price,worst_price,mfe_points,mae_points,mfe_money,mae_money,mfe_r,mae_r
36,XAUUSD,PERIOD_H1,26090401,SELL,36,37,36,37,2025.03.21 16:00:00,2025.03.21 16:46:16,2776,0.7711,0.0900,0.0900,3006.68,3011.77,3011.68,2986.68,-45.81,0.00,0.00,0.00,-45.81,DEAL_REASON_SL,STOP_LOSS,9400.38,OK,3984,2999.67,3011.77,701.0,509.0,63.09,45.81,1.4020,1.0180
38,XAUUSD,PERIOD_H1,26090401,BUY,38,39,38,39,2025.03.26 09:00:00,2025.03.26 11:15:37,8137,2.2603,0.0900,0.0900,3026.18,3021.15,3021.18,3046.18,-45.27,0.00,0.00,0.00,-45.27,DEAL_REASON_SL,STOP_LOSS,9355.11,OK,8138,3032.04,3021.15,586.0,503.0,52.74,45.27,1.1720,1.0060
40,XAUUSD,PERIOD_H1,26090401,SELL,40,41,40,41,2025.03.26 19:00:00,2025.03.26 20:08:38,4118,1.1439,0.0900,0.0900,3015.57,3020.58,3020.57,2995.57,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9310.02,OK,4122,3015.36,3020.58,21.0,501.0,1.89,45.09,0.0420,1.0020
42,XAUUSD,PERIOD_H1,26090401,BUY,42,43,42,43,2025.03.27 05:00:00,2025.03.27 08:46:36,13596,3.7767,0.0900,0.0900,3031.85,3026.81,3026.85,3051.85,-45.36,0.00,0.00,0.00,-45.36,DEAL_REASON_SL,STOP_LOSS,9264.66,OK,11816,3038.54,3026.81,669.0,504.0,60.21,45.36,1.3380,1.0080
44,XAUUSD,PERIOD_H1,26090401,SELL,44,45,44,45,2025.04.03 16:00:00,2025.04.03 16:12:37,757,0.2103,0.0900,0.0900,3076.24,3056.17,3081.24,3056.24,180.63,0.00,0.00,0.00,180.63,DEAL_REASON_TP,TAKE_PROFIT,9445.29,OK,1119,3056.17,3076.35,2007.0,11.0,180.63,0.99,4.0140,0.0220
46,XAUUSD,PERIOD_H1,26090401,BUY,46,47,46,47,2025.04.09 14:00:00,2025.04.09 14:01:23,83,0.0231,0.0900,0.0900,3043.37,3038.31,3038.37,3063.37,-45.54,0.00,0.00,0.00,-45.54,DEAL_REASON_SL,STOP_LOSS,9399.75,OK,110,3043.96,3038.31,59.0,506.0,5.31,45.54,0.1180,1.0120
48,XAUUSD,PERIOD_H1,26090401,SELL,48,49,48,49,2025.04.23 06:00:00,2025.04.23 06:12:55,775,0.2153,0.0900,0.0900,3354.13,3334.06,3359.13,3334.13,180.63,0.00,0.00,0.00,180.63,DEAL_REASON_TP,TAKE_PROFIT,9580.38,OK,1140,3334.06,3355.80,2007.0,167.0,180.63,15.03,4.0140,0.3340
50,XAUUSD,PERIOD_H1,26090401,SELL,50,51,50,51,2025.04.29 18:00:00,2025.04.29 19:26:29,5189,1.4414,0.0900,0.0900,3314.48,3319.54,3319.48,3294.48,-45.54,0.00,0.00,0.00,-45.54,DEAL_REASON_SL,STOP_LOSS,9534.84,OK,6155,3305.43,3319.54,905.0,506.0,81.45,45.54,1.8100,1.0120
52,XAUUSD,PERIOD_H1,26090401,BUY,52,53,52,53,2025.04.29 20:00:00,2025.04.29 20:19:22,1162,0.3228,0.0900,0.0900,3329.04,3324.03,3324.04,3349.04,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9489.75,OK,1201,3329.62,3324.03,58.0,501.0,5.22,45.09,0.1160,1.0020
54,XAUUSD,PERIOD_H1,26090401,SELL,54,55,54,55,2025.04.30 06:00:00,2025.04.30 08:09:36,7776,2.1600,0.0900,0.0900,3306.67,3311.68,3311.67,3286.67,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9444.66,OK,7973,3301.53,3311.68,514.0,501.0,46.26,45.09,1.0280,1.0020
56,XAUUSD,PERIOD_H1,26090401,BUY,56,57,56,57,2025.05.05 12:00:00,2025.05.05 12:30:12,1812,0.5033,0.0900,0.0900,3282.87,3302.89,3277.87,3302.87,180.18,0.00,0.00,0.00,180.18,DEAL_REASON_TP,TAKE_PROFIT,9624.84,OK,2380,3302.89,3282.21,2002.0,66.0,180.18,5.94,4.0040,0.1320
58,XAUUSD,PERIOD_H1,26090401,SELL,58,59,58,59,2025.05.08 14:00:00,2025.05.08 15:14:28,4468,1.2411,0.0900,0.0900,3342.19,3347.21,3347.19,3322.19,-45.18,0.00,0.00,0.00,-45.18,DEAL_REASON_SL,STOP_LOSS,9579.66,OK,4523,3339.42,3347.21,277.0,502.0,24.93,45.18,0.5540,1.0040
60,XAUUSD,PERIOD_H1,26090401,BUY,60,61,60,61,2025.05.16 04:00:00,2025.05.16 04:01:37,97,0.0269,0.0900,0.0900,3243.31,3238.21,3238.31,3263.31,-45.90,0.00,0.00,0.00,-45.90,DEAL_REASON_SL,STOP_LOSS,9533.76,OK,166,3244.41,3238.21,110.0,510.0,9.90,45.90,0.2200,1.0200
62,XAUUSD,PERIOD_H1,26090401,SELL,62,63,62,63,2025.05.16 14:00:00,2025.05.16 14:54:55,3295,0.9153,0.0900,0.0900,3175.97,3155.93,3180.97,3155.97,180.36,0.00,0.00,0.00,180.36,DEAL_REASON_TP,TAKE_PROFIT,9714.12,OK,4319,3155.93,3179.32,2004.0,335.0,180.36,30.15,4.0080,0.6700
64,XAUUSD,PERIOD_H1,26090401,BUY,64,65,64,65,2025.05.19 04:00:00,2025.05.19 04:02:18,138,0.0383,0.0900,0.0900,3246.27,3241.19,3241.27,3266.27,-45.72,0.00,0.00,0.00,-45.72,DEAL_REASON_SL,STOP_LOSS,9668.40,OK,234,3246.42,3241.19,15.0,508.0,1.35,45.72,0.0300,1.0160
66,XAUUSD,PERIOD_H1,26090401,SELL,66,67,66,67,2025.05.27 12:00:00,2025.05.27 12:07:56,476,0.1322,0.0900,0.0900,3298.58,3303.59,3303.58,3278.58,-45.09,0.00,0.00,0.00,-45.09,DEAL_REASON_SL,STOP_LOSS,9623.31,OK,643,3298.24,3303.59,34.0,501.0,3.06,45.09,0.0680,1.0020
68,XAUUSD,PERIOD_H1,26090401,BUY,68,69,68,69,2025.05.29 22:00:00,2025.05.29 22:38:07,2287,0.6353,0.0900,0.0900,3321.59,3316.46,3316.59,3341.59,-46.17,0.00,0.00,0.00,-46.17,DEAL_REASON_SL,STOP_LOSS,9577.14,OK,2531,3321.59,3316.46,0.0,513.0,0.00,46.17,0.0000,1.0260
70,XAUUSD,PERIOD_H1,26090401,SELL,70,71,70,71,2025.05.30 12:00:00,2025.05.30 13:15:45,4545,1.2625,0.0900,0.0900,3295.54,3300.69,3300.54,3275.54,-46.35,0.00,0.00,0.00,-46.35,DEAL_REASON_SL,STOP_LOSS,9530.79,OK,4780,3292.79,3300.69,275.0,515.0,24.75,46.35,0.5500,1.0300
