candidate_id,research_join_key,symbol,entry_timeframe,signal_time,signal_time_msc,signal_bar_time,side,horizon_minutes,status,entry_bid,entry_ask,entry_mid,spread_points,m5_atr,m5_atr_points,stop_atr_multiplier,stop_distance,stop_price,stop_hit,stop_hit_time,stop_hit_time_msc,stop_hit_ask,time_to_stop_seconds,ticks_scanned,best_exit_ask,worst_exit_ask,mfe_points,mae_points,mfe_bps,mae_bps,mfe_atr,mae_atr,time_to_mfe_seconds,time_to_mae_seconds,observed_time,observed_time_msc,observation_delay_milliseconds,future_ask,time_exit_return_points,time_exit_return_bps,time_exit_return_r,simulated_exit_mode,simulated_return_bps,simulated_return_r
P2F4_CANDIDATE_S1,1767816300014_SELL,XAUUSD,PERIOD_M5,2026.01.07 20:05:00,1767816300014,2026.01.07 20:05:00,SELL,5,OK,4450.59,4450.74,4450.66,15.0,3.89,388.71,1.250000,4.86,4455.45,NO,,,,,3651,4448.14,4452.81,245.00,222.00,5.5049,4.9881,0.630283,0.571114,164.169,52.480,2026.01.07 20:10:00,1767816600088,74,4450.38,21.00,0.4718,0.043219,TIME_EXIT,0.4718,0.043219
P2F4_CANDIDATE_S1,1767816300014_SELL,XAUUSD,PERIOD_M5,2026.01.07 20:05:00,1767816300014,2026.01.07 20:05:00,SELL,10,OK,4450.59,4450.74,4450.66,15.0,3.89,388.71,1.250000,4.86,4455.45,NO,,,,,7578,4448.14,4453.01,245.00,242.00,5.5049,5.4375,0.630283,0.622565,164.169,353.643,2026.01.07 20:15:00,1767816900024,10,4450.06,53.00,1.1909,0.109078,TIME_EXIT,1.1909,0.109078
P2F4_CANDIDATE_S1,1767816300014_SELL,XAUUSD,PERIOD_M5,2026.01.07 20:05:00,1767816300014,2026.01.07 20:05:00,SELL,15,OK,4450.59,4450.74,4450.66,15.0,3.89,388.71,1.250000,4.86,4455.45,NO,,,,,11333,4447.35,4453.01,324.00,242.00,7.2799,5.4375,0.833517,0.622565,794.141,353.643,2026.01.07 20:20:00,1767817200048,34,4450.33,26.00,0.5842,0.053510,TIME_EXIT,0.5842,0.053510
P2F4_CANDIDATE_S1,1767827400165_SELL,XAUUSD,PERIOD_M5,2026.01.07 23:10:00,1767827400165,2026.01.07 23:10:00,SELL,5,OK,4452.91,4453.18,4453.05,27.0,3.56,355.57,1.250000,4.44,4457.35,NO,,,,,423,4453.18,4454.76,0.00,185.00,0.0000,4.1546,0.000000,0.520289,0.000,213.311,2026.01.07 23:15:00,1767827700180,15,4454.18,-127.00,-2.8521,-0.285737,TIME_EXIT,-2.8521,-0.285737
P2F4_CANDIDATE_S1,1767827400165_SELL,XAUUSD,PERIOD_M5,2026.01.07 23:10:00,1767827400165,2026.01.07 23:10:00,SELL,10,OK,4452.91,4453.18,4453.05,27.0,3.56,355.57,1.250000,4.44,4457.35,NO,,,,,785,4453.18,4454.80,0.00,189.00,0.0000,4.2444,0.000000,0.531539,0.000,303.703,2026.01.07 23:20:01,1767828001934,1769,4454.15,-124.00,-2.7847,-0.278988,TIME_EXIT,-2.7847,-0.278988
P2F4_CANDIDATE_S1,1767827400165_SELL,XAUUSD,PERIOD_M5,2026.01.07 23:10:00,1767827400165,2026.01.07 23:10:00,SELL,15,OK,4452.91,4453.18,4453.05,27.0,3.56,355.57,1.250000,4.44,4457.35,NO,,,,,1214,4453.18,4455.43,0.00,252.00,0.0000,5.6592,0.000000,0.708718,0.000,629.416,2026.01.07 23:25:01,1767828301289,1124,4453.77,-86.00,-1.9313,-0.193491,TIME_EXIT,-1.9313,-0.193491
P2F4_CANDIDATE_S1,1767866700025_SELL,XAUUSD,PERIOD_M5,2026.01.08 10:05:00,1767866700025,2026.01.08 10:05:00,SELL,5,OK,4425.75,4425.94,4425.84,19.0,4.26,425.79,1.250000,5.32,4431.07,YES,2026.01.08 10:09:23,1767866963280,4431.09,263.255,3509,4425.94,4432.61,0.00,686.00,0.0000,15.5002,0.000000,1.611139,0.000,299.591,2026.01.08 10:10:00,1767867000055,30,4432.60,-685.00,-15.4776,-1.287032,HARD_SL,-12.0258,-1.000000
P2F4_CANDIDATE_S1,1767866700025_SELL,XAUUSD,PERIOD_M5,2026.01.08 10:05:00,1767866700025,2026.01.08 10:05:00,SELL,10,OK,4425.75,4425.94,4425.84,19.0,4.26,425.79,1.250000,5.32,4431.07,YES,2026.01.08 10:09:23,1767866963280,4431.09,263.255,6510,4425.94,4433.44,0.00,769.00,0.0000,17.3756,0.000000,1.806073,0.000,367.884,2026.01.08 10:15:00,1767867300088,63,4425.97,-22.00,-0.4971,-0.041335,HARD_SL,-12.0258,-1.000000
P2F4_CANDIDATE_S1,1767866700025_SELL,XAUUSD,PERIOD_M5,2026.01.08 10:05:00,1767866700025,2026.01.08 10:05:00,SELL,15,OK,4425.75,4425.94,4425.84,19.0,4.26,425.79,1.250000,5.32,4431.07,YES,2026.01.08 10:09:23,1767866963280,4431.09,263.255,9191,4425.53,4433.44,22.00,769.00,0.4971,17.3756,0.051669,1.806073,601.163,367.884,2026.01.08 10:20:00,1767867600042,17,4429.12,-337.00,-7.6145,-0.633182,HARD_SL,-12.0258,-1.000000
P2F4_CANDIDATE_S1,1767871200003_SELL,XAUUSD,PERIOD_M5,2026.01.08 11:20:00,1767871200003,2026.01.08 11:20:00,SELL,5,OK,4426.51,4426.61,4426.56,10.0,4.83,482.57,1.250000,6.03,4432.54,NO,,,,,3034,4426.23,4429.37,28.00,286.00,0.6326,6.4611,0.058022,0.592658,1.616,126.418,2026.01.08 11:25:00,1767871500172,169,4427.79,-128.00,-2.8917,-0.212197,TIME_EXIT,-2.8917,-0.212197
P2F4_CANDIDATE_S1,1767871200003_SELL,XAUUSD,PERIOD_M5,2026.01.08 11:20:00,1767871200003,2026.01.08 11:20:00,SELL,10,OK,4426.51,4426.61,4426.56,10.0,4.83,482.57,1.250000,6.03,4432.54,NO,,,,,6046,4426.23,4431.26,28.00,475.00,0.6326,10.7308,0.058022,0.984310,1.616,511.276,2026.01.08 11:30:00,1767871800018,15,4430.43,-392.00,-8.8557,-0.649852,TIME_EXIT,-8.8557,-0.649852
P2F4_CANDIDATE_S1,1767871200003_SELL,XAUUSD,PERIOD_M5,2026.01.08 11:20:00,1767871200003,2026.01.08 11:20:00,SELL,15,OK,4426.51,4426.61,4426.56,10.0,4.83,482.57,1.250000,6.03,4432.54,YES,2026.01.08 11:31:04,1767871864339,4432.57,664.336,8986,4426.23,4434.96,28.00,845.00,0.6326,19.0895,0.058022,1.751036,1.616,871.869,2026.01.08 11:35:00,1767872100047,44,4434.54,-803.00,-18.1407,-1.331202,HARD_SL,-13.6273,-1.000000
P2F4_CANDIDATE_S1,1767874800039_SELL,XAUUSD,PERIOD_M5,2026.01.08 12:20:00,1767874800039,2026.01.08 12:20:00,SELL,5,OK,4424.39,4424.53,4424.46,14.0,3.43,342.71,1.250000,4.28,4428.67,NO,,,,,2585,4423.19,4426.75,120.00,236.00,2.7122,5.3341,0.350146,0.688620,4.153,245.342,2026.01.08 12:25:00,1767875100281,242,4426.14,-175.00,-3.9553,-0.408504,TIME_EXIT,-3.9553,-0.408504
P2F4_CANDIDATE_S1,1767874800039_SELL,XAUUSD,PERIOD_M5,2026.01.08 12:20:00,1767874800039,2026.01.08 12:20:00,SELL,10,OK,4424.39,4424.53,4424.46,14.0,3.43,342.71,1.250000,4.28,4428.67,NO,,,,,4931,4423.19,4427.65,120.00,326.00,2.7122,7.3682,0.350146,0.951230,4.153,471.965,2026.01.08 12:30:00,1767875400067,28,4424.79,-40.00,-0.9041,-0.093372,TIME_EXIT,-0.9041,-0.093372
P2F4_CANDIDATE_S1,1767874800039_SELL,XAUUSD,PERIOD_M5,2026.01.08 12:20:00,1767874800039,2026.01.08 12:20:00,SELL,15,OK,4424.39,4424.53,4424.46,14.0,3.43,342.71,1.250000,4.28,4428.67,YES,2026.01.08 12:32:38,1767875558100,4428.69,758.061,7409,4423.19,4431.88,120.00,749.00,2.7122,16.9289,0.350146,2.185494,4.153,841.041,2026.01.08 12:35:00,1767875700105,66,4431.48,-709.00,-16.0248,-1.655023,HARD_SL,-9.6825,-1.000000
P2F4_CANDIDATE_S1,1767878400132_SELL,XAUUSD,PERIOD_M5,2026.01.08 13:20:00,1767878400132,2026.01.08 13:20:00,SELL,5,OK,4428.81,4428.98,4428.90,17.0,3.49,349.29,1.250000,4.37,4433.18,NO,,,,,3369,4425.86,4429.16,295.00,35.00,6.6609,0.7903,0.844581,0.100204,273.146,109.216,2026.01.08 13:25:00,1767878700173,41,4425.91,290.00,6.5480,0.664213,TIME_EXIT,6.5480,0.664213
P2F4_CANDIDATE_S1,1767878400132_SELL,XAUUSD,PERIOD_M5,2026.01.08 13:20:00,1767878400132,2026.01.08 13:20:00,SELL,10,OK,4428.81,4428.98,4428.90,17.0,3.49,349.29,1.250000,4.37,4433.18,NO,,,,,6552,4424.90,4429.16,391.00,35.00,8.8286,0.7903,1.119427,0.100204,367.593,109.216,2026.01.08 13:30:00,1767879000205,73,4426.53,228.00,5.1481,0.522209,TIME_EXIT,5.1481,0.522209
P2F4_CANDIDATE_S1,1767878400132_SELL,XAUUSD,PERIOD_M5,2026.01.08 13:20:00,1767878400132,2026.01.08 13:20:00,SELL,15,OK,4428.81,4428.98,4428.90,17.0,3.49,349.29,1.250000,4.37,4433.18,NO,,,,,9214,4424.88,4429.16,393.00,35.00,8.8737,0.7903,1.125153,0.100204,889.671,109.216,2026.01.08 13:35:00,1767879300163,31,4425.14,367.00,8.2867,0.840573,TIME_EXIT,8.2867,0.840573
P2F4_CANDIDATE_S1,1767885000010_SELL,XAUUSD,PERIOD_M5,2026.01.08 15:10:00,1767885000010,2026.01.08 15:10:00,SELL,5,OK,4418.68,4418.82,4418.75,14.0,5.71,570.93,1.250000,7.14,4425.82,NO,,,,,4607,4417.48,4421.08,120.00,240.00,2.7157,5.4315,0.210184,0.420368,47.294,105.349,2026.01.08 15:15:00,1767885300030,20,4420.67,-199.00,-4.5036,-0.278844,TIME_EXIT,-4.5036,-0.278844
P2F4_CANDIDATE_S1,1767885000010_SELL,XAUUSD,PERIOD_M5,2026.01.08 15:10:00,1767885000010,2026.01.08 15:10:00,SELL,10,OK,4418.68,4418.82,4418.75,14.0,5.71,570.93,1.250000,7.14,4425.82,YES,2026.01.08 15:18:36,1767885516729,4425.84,516.719,9289,4417.48,4427.70,120.00,902.00,2.7157,20.4133,0.210184,1.579882,47.294,566.404,2026.01.08 15:20:00,1767885600054,44,4425.95,-727.00,-16.4529,-1.018691,HARD_SL,-16.1510,-1.000000
P2F4_CANDIDATE_S1,1767885000010_SELL,XAUUSD,PERIOD_M5,2026.01.08 15:10:00,1767885000010,2026.01.08 15:10:00,SELL,15,OK,4418.68,4418.82,4418.75,14.0,5.71,570.93,1.250000,7.14,4425.82,YES,2026.01.08 15:18:36,1767885516729,4425.84,516.719,14611,4417.48,4433.27,120.00,1459.00,2.7157,33.0189,0.210184,2.555486,47.294,785.459,2026.01.08 15:25:00,1767885900026,16,4432.27,-1359.00,-30.7558,-1.904266,HARD_SL,-16.1510,-1.000000
P2F4_CANDIDATE_S1,1767888900003_SELL,XAUUSD,PERIOD_M5,2026.01.08 16:15:00,1767888900003,2026.01.08 16:15:00,SELL,5,OK,4423.48,4423.58,4423.53,10.0,6.29,628.79,1.250000,7.86,4431.34,NO,,,,,4504,4419.58,4427.95,390.00,447.00,8.8166,10.1052,0.620243,0.710894,65.331,251.499,2026.01.08 16:20:00,1767889200042,39,4427.55,-407.00,-9.2009,-0.517823,TIME_EXIT,-9.2009,-0.517823
P2F4_CANDIDATE_S1,1767888900003_SELL,XAUUSD,PERIOD_M5,2026.01.08 16:15:00,1767888900003,2026.01.08 16:15:00,SELL,10,OK,4423.48,4423.58,4423.53,10.0,6.29,628.79,1.250000,7.86,4431.34,NO,,,,,8294,4419.58,4429.25,390.00,577.00,8.8166,13.0440,0.620243,0.917642,65.331,599.024,2026.01.08 16:25:00,1767889500014,11,4429.10,-562.00,-12.7049,-0.715029,TIME_EXIT,-12.7049,-0.715029
P2F4_CANDIDATE_S1,1767888900003_SELL,XAUUSD,PERIOD_M5,2026.01.08 16:15:00,1767888900003,2026.01.08 16:15:00,SELL,15,OK,4423.48,4423.58,4423.53,10.0,6.29,628.79,1.250000,7.86,4431.34,NO,,,,,12028,4419.58,4430.30,390.00,682.00,8.8166,15.4177,0.620243,1.084630,65.331,615.601,2026.01.08 16:30:00,1767889800053,50,4427.94,-446.00,-10.0826,-0.567443,TIME_EXIT,-10.0826,-0.567443
