join_key,symbol,entry_timeframe,context_timeframe,signal_time,signal_time_msc,signal_bar_time,side,context_status,server_hour,server_minute,server_day_of_week,entry_bid,entry_ask,entry_mid,spread_points,spread_bps,m5_fast_ema_bar2,m5_slow_ema_bar2,m5_fast_ema_bar1,m5_slow_ema_bar1,m5_fast_slope_points,m5_slow_slope_points,m5_ema_separation_points,m5_ema_separation_bps,m5_signal_separation_bps,m5_atr_points,m5_atr_bps,spread_to_atr_ratio,m5_bar1_open,m5_bar1_high,m5_bar1_low,m5_bar1_close,m5_bar1_direction,m5_bar1_body_points,m5_bar1_range_points,m5_bar1_body_to_range,m5_bar1_range_to_atr,m5_momentum_3bar_bps,m5_signal_momentum_3bar_bps,m15_fast_ema_bar2,m15_slow_ema_bar2,m15_fast_ema_bar1,m15_slow_ema_bar1,m15_fast_slope_points,m15_slow_slope_points,m15_ema_separation_points,m15_ema_separation_bps,m15_trend,m15_signal_alignment
2026.01.27 11:30_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.27 11:30:00,1769513400022,2026.01.27 11:30:00,BUY,OK,11,30,2,5088.45,5088.61,5088.53,16.0,0.3144,5083.30420039,5083.56523311,5084.32936031,5084.00748464,102.52,44.23,32.19,0.6326,0.6326,480.36,9.4400,0.033309,5084.94,5088.67,5084.93,5088.43,BULLISH,349.00,374.00,0.933155,0.778587,9.9540,9.9540,5079.47568430,5072.28626801,5080.32847627,5072.91935554,85.28,63.31,740.91,14.5604,BULLISH,ALIGNED
2026.01.27 12:45_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.27 12:45:00,1769517900013,2026.01.27 12:45:00,SELL,OK,12,45,2,5084.61,5084.74,5084.67,13.0,0.2557,5089.84211858,5089.22012459,5088.79569486,5088.80102236,-104.64,-41.91,-0.53,-0.0105,0.0105,559.43,11.0022,0.023238,5088.45,5089.20,5084.61,5084.61,BEARISH,384.00,459.00,0.836601,0.820480,-7.2716,7.2716,5084.47544190,5075.87806916,5084.48825696,5076.22049782,1.28,34.24,826.78,16.2602,BULLISH,COUNTER
2026.01.27 14:45_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.27 14:45:00,1769525100004,2026.01.27 14:45:00,BUY,OK,14,45,2,5089.30,5089.49,5089.40,19.0,0.3733,5081.74009353,5082.49978177,5083.26007482,5083.12161979,152.00,62.18,13.85,0.2720,0.2720,592.50,11.6419,0.032068,5086.07,5090.32,5085.87,5089.34,BULLISH,327.00,445.00,0.734831,0.751055,20.2794,20.2794,5083.75115682,5077.98696427,5084.28342760,5078.43218135,53.23,44.52,585.12,11.4969,BULLISH,ALIGNED
2026.01.27 15:35_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.27 15:35:00,1769528100089,2026.01.27 15:35:00,SELL,OK,15,35,2,5076.56,5076.75,5076.66,19.0,0.3743,5085.20363444,5084.61510431,5083.47490756,5083.88282210,-172.87,-73.23,-40.79,-0.8035,0.8035,710.36,13.9926,0.026747,5080.90,5085.97,5075.11,5076.56,BEARISH,434.00,1086.00,0.399632,1.528808,-24.1116,24.1116,5084.91922305,5079.14545461,5084.54120180,5079.21622109,-37.80,7.08,532.50,10.4892,BULLISH,COUNTER
2026.01.27 17:40_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.27 17:40:00,1769535600023,2026.01.27 17:40:00,BUY,OK,17,40,2,5083.23,5083.42,5083.32,19.0,0.3738,5069.41970261,5069.47628464,5072.18176209,5070.72662240,276.21,125.03,145.51,2.8626,2.8626,1341.43,26.3888,0.014164,5077.87,5086.99,5077.34,5083.23,BULLISH,536.00,965.00,0.555440,0.719382,14.8749,14.8749,5074.66235910,5075.88060919,5074.14308680,5075.61901667,-51.93,-26.16,-147.59,-2.9035,BEARISH,COUNTER
2026.01.27 19:45_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.27 19:45:00,1769543100048,2026.01.27 19:45:00,SELL,OK,19,45,2,5082.01,5082.05,5082.03,4.0,0.0787,5086.53982623,5086.13807935,5085.63386098,5085.76279941,-90.60,-37.53,-12.89,-0.2537,0.2537,673.36,13.2498,0.005940,5084.53,5084.94,5078.58,5082.01,BEARISH,252.00,636.00,0.396226,0.944521,-10.7126,10.7126,5082.91352434,5079.57323827,5082.82747440,5079.66879755,-8.60,9.56,315.87,6.2154,BULLISH,COUNTER
2026.01.27 20:40_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.27 20:40:00,1769546400044,2026.01.27 20:40:00,BUY,OK,20,40,2,5090.00,5090.04,5090.02,4.0,0.0786,5084.15051071,5084.20623066,5085.31440857,5084.73020969,116.39,52.40,58.42,1.1477,1.1477,640.07,12.5750,0.006249,5088.59,5091.89,5088.34,5089.97,BULLISH,138.00,355.00,0.388732,0.554626,17.2991,17.2991,5082.58992803,5079.81062012,5082.82231583,5080.01530168,23.24,20.47,280.70,5.5147,BULLISH,ALIGNED
2026.01.28 02:25_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 02:25:00,1769567100257,2026.01.28 02:25:00,SELL,OK,2,25,3,5163.61,5163.77,5163.69,16.0,0.3099,5166.94020807,5166.87719037,5166.27416646,5166.58017306,-66.60,-29.70,-30.60,-0.5926,0.5926,742.36,14.3765,0.021553,5164.20,5164.59,5160.36,5163.61,BEARISH,59.00,423.00,0.139480,0.569807,-6.9863,6.9863,5143.97027105,5114.72021776,5146.04548333,5116.72177785,207.52,200.16,2932.37,56.7883,BULLISH,COUNTER
2026.01.28 02:45_BUY,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 02:45:00,1769568300002,2026.01.28 02:45:00,BUY,OK,2,45,3,5168.26,5168.42,5168.34,16.0,0.3096,5166.53485323,5166.57242905,5166.88588258,5166.72857186,35.10,15.61,15.73,0.3044,0.3044,592.43,11.4626,0.027007,5169.43,5169.72,5166.09,5168.29,BEARISH,114.00,363.00,0.314050,0.612732,9.7419,9.7419,5147.68496111,5118.54680617,5149.64734577,5120.49751966,196.24,195.07,2914.98,56.4008,BULLISH,ALIGNED
2026.01.28 11:25_SELL,XAUUSD,PERIOD_M5,PERIOD_M15,2026.01.28 11:25:00,1769599500024,2026.01.28 11:25:00,SELL,OK,11,25,3,5269.60,5269.69,5269.65,9.0,0.1708,5288.07894574,5287.20050142,5284.38315659,5285.60045583,-369.58,-160.00,-121.73,-2.3100,2.3100,907.21,17.2159,0.009920,5277.96,5279.48,5268.50,5269.60,BEARISH,836.00,1098.00,0.761384,1.210298,-45.8643,45.8643,5267.50246374,5221.71800611,5268.86984814,5224.07651568,136.74,235.85,4479.33,85.0026,BULLISH,COUNTER
