opportunity,time,cap,extra_cost_bps,tickets,total_R,incremental_R
1770965700033_SELL,2026.02.13 06:55:00,1,1,1,-0.8115719,0.0
1770982200032_SELL,2026.02.13 11:30:00,1,1,1,-0.07763679,0.0
1771292400019_SELL,2026.02.17 01:40:00,1,1,1,-0.65277945,0.0
1771303500080_SELL,2026.02.17 04:45:00,1,1,1,-0.49813826,0.0
1771305300049_SELL,2026.02.17 05:15:00,1,1,1,0.49426975,0.0
1771365900046_SELL,2026.02.17 22:05:00,1,1,1,-0.15075835,0.0
1771922100025_SELL,2026.02.24 08:35:00,1,1,1,-0.39525811,0.0
1772533800012_SELL,2026.03.03 10:30:00,1,1,1,1.10958917,0.0
1772550600012_SELL,2026.03.03 15:10:00,1,1,1,-0.91580911,0.0
1772578200046_SELL,2026.03.03 22:50:00,1,1,1,0.4566205,0.0
1772601000125_SELL,2026.03.04 05:10:00,1,1,1,-0.63341229,0.0
1774248900012_SELL,2026.03.23 06:55:00,1,1,1,-1.03594935,0.0
1774250700030_SELL,2026.03.23 07:25:00,1,1,1,1.58276602,0.0
1774330800114_SELL,2026.03.24 05:40:00,1,1,1,0.07331293,0.0
1774487100044_SELL,2026.03.26 01:05:00,1,1,1,-0.34398844,0.0
1774499700030_SELL,2026.03.26 04:35:00,1,1,1,0.33303424,0.0
1774509300030_SELL,2026.03.26 07:15:00,1,1,1,0.61044037,0.0
1774533300023_SELL,2026.03.26 13:55:00,1,1,1,0.11739521,0.0
1774536900013_SELL,2026.03.26 14:55:00,1,1,1,-0.42419778,0.0
1774578300027_SELL,2026.03.27 02:25:00,1,1,1,-0.658963,0.0
1778600100002_SELL,2026.05.12 15:35:00,1,1,1,-1.06551747,0.0
1778749800032_SELL,2026.05.14 09:10:00,1,1,1,0.24834907,0.0
1778829600067_SELL,2026.05.15 07:20:00,1,1,1,0.43891651,0.0
1778870100003_SELL,2026.05.15 18:35:00,1,1,1,0.17185139,0.0
1778883300079_SELL,2026.05.15 22:15:00,1,1,1,-0.03706412,0.0
1779094800031_SELL,2026.05.18 09:00:00,1,1,1,-1.04806702,0.0
1779187500003_SELL,2026.05.19 10:45:00,1,1,1,-1.07396755,0.0
1779976200048_SELL,2026.05.28 13:50:00,1,1,1,-1.06843648,0.0
1779981600010_SELL,2026.05.28 15:20:00,1,1,1,0.44242352,0.0
1780305300197_SELL,2026.06.01 09:15:00,1,1,1,1.20170332,0.0
1780316700002_SELL,2026.06.01 12:25:00,1,1,1,1.40809352,0.0
1780327500017_SELL,2026.06.01 15:25:00,1,1,1,-1.10650551,0.0
1780329600032_SELL,2026.06.01 16:00:00,1,1,1,0.08733083,0.0
1780353900068_SELL,2026.06.01 22:45:00,1,1,1,1.1230225,0.0
1780368600011_SELL,2026.06.02 02:50:00,1,1,1,-1.1401937,0.0
1780372800001_SELL,2026.06.02 04:00:00,1,1,1,0.22916843,0.0
1780375200009_SELL,2026.06.02 04:40:00,1,1,1,0.65829335,0.0
1780452000017_SELL,2026.06.03 02:00:00,1,1,1,0.40209077,0.0
1780460100006_SELL,2026.06.03 04:15:00,1,1,1,0.60107838,0.0
