partition,deadline_minutes,delay_minutes,gross_n,gross_mean,gross_median,gross_trim10,gross_exbest1,gross_extop3,gross_extop5,gross_worst1,gross_worst3_sum,gross_pf,gross_positive,gross_negative,inc_n,inc_mean,inc_median,inc_trim10,inc_exbest1,inc_extop3,inc_extop5,inc_worst1,inc_worst3_sum,inc_pf,inc_positive,inc_negative
JUL_AUG,10,3,88,1.5931375414477174,1.3616707322333657,1.3437760061539954,1.3381015717002056,0.9098324072448094,0.5288374286749924,-21.13994875860205,-46.87779916642426,1.7050980486118004,0.5795454545454546,0.42045454545454547,88,0.7965243291220251,0.7407526409120533,0.691378159369479,0.5987747995651624,0.336091396532587,0.10186589983199247,-12.392527284898769,-33.33605016031693,1.4766883877001602,0.5227272727272727,0.45454545454545453
JUL_AUG,10,5,88,0.6366559639334727,0.07336491044462261,0.23038931212575042,0.339870967750221,-0.11493359714482038,-0.4895115785285965,-18.093510214832516,-46.368185011758484,1.2659317421245349,0.5,0.5,88,-0.1599572483922196,-1.1885630053951082,-0.28124502506051763,-0.42220659626325013,-0.838751522353604,-1.1533490418875367,-30.02152977089452,-56.63350706464757,0.9469058956068473,0.45454545454545453,0.5454545454545454
JUL_AUG,15,0,88,0.816608515436116,0.6695300049377988,0.8753921439373373,0.48308959657348544,-0.17508832917091977,-0.6868776559747786,-43.37302266448311,-94.42906883392732,1.186636368089356,0.5340909090909091,0.4659090909090909,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JUL_AUG,15,1,88,1.5135603273323115,1.6922833852672943,1.582009251594606,1.1783631917420385,0.5739799725772898,-0.0025339338686306725,-45.82915555990373,-88.34066381808529,1.4019576949846209,0.5681818181818182,0.42045454545454547,88,0.6969518118961956,0.33268980181808905,0.5854417995748595,0.5584710383685155,0.3248326332816463,0.1402392202607752,-12.95704357690878,-27.36252000198755,1.6347316348186718,0.5227272727272727,0.4772727272727273
JUL_AUG,15,3,88,1.613216125116695,2.2011058702140307,1.3926178150151338,1.2965564221722516,0.6985706432180213,0.1572373811055971,-35.54597890694327,-74.20884584547449,1.4746125725215642,0.5340909090909091,0.4659090909090909,88,0.796607609680579,0.7405908356071238,0.6914072678597052,0.5988419581461663,0.3362390208062311,0.10188822301271937,-12.40046129856484,-33.34999526755542,1.4767051319041449,0.5227272727272727,0.45454545454545453
JUL_AUG,15,5,88,0.6565133336521926,-0.30796483627653265,0.5562209440013788,0.3129205790202985,-0.2885462233665787,-0.8251674450818349,-30.13063118056439,-78.8020051055818,1.175868109902133,0.48863636363636365,0.5113636363636364,88,-0.1600951817839235,-1.1879145922819871,-0.28051273401371524,-0.422193850800132,-0.8387055340082161,-1.1535933225292956,-30.050521610838597,-56.69076351468721,0.9468635797734353,0.45454545454545453,0.5454545454545454
JUL_AUG,30,0,86,0.7116018717932671,-0.4981570081576221,-0.5509306576351273,0.003416387043929953,-1.1529306067104188,-2.261636359071816,-42.011971783588116,-108.59030185741003,1.0976577265467118,0.4883720930232558,0.5116279069767442,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JUL_AUG,30,1,86,1.4194768377398836,0.06268166966616687,0.020834068748638742,0.8112961643939302,-0.3163207697914918,-1.45962136972747,-37.522597110608025,-97.61966247363966,1.2178952613987712,0.5,0.5,86,0.7078749659466166,0.3326874733286713,0.594881952896538,0.566470553968478,0.327508769109624,0.13824906795226047,-12.94727759848844,-27.309871789510392,1.639391626880835,0.5232558139534884,0.47674418604651164
JUL_AUG,30,3,86,1.4816421619960627,-0.42113786224230426,-0.3028753719075857,0.7275787681578372,-0.4355885260656131,-1.5691066745905464,-36.934481441617564,-95.87034813142293,1.2459461336211135,0.4883720930232558,0.5116279069767442,86,0.7700402902027959,0.7401171972201008,0.6547418703088994,0.5670894643073578,0.29679875378385046,0.05553213471877386,-12.388881927268415,-33.334589483043416,1.4502804661073079,0.5232558139534884,0.46511627906976744
JUL_AUG,30,5,86,0.4151230220248509,-2.4318385819551587,-0.8185085388078187,-0.4005677026627313,-1.6166765997480166,-2.530388636011768,-33.755493945271844,-97.58846173721604,1.063564604716519,0.4186046511627907,0.5813953488372093,86,-0.29647884976841615,-1.3263089648325344,-0.4528184786472052,-0.5665421880608812,-0.9973556890737026,-1.3236889857501974,-30.056275716476357,-56.656146432314074,0.9038152658785538,0.4418604651162791,0.5581395348837209
ALL,10,0,430,2.2959413728186626,1.0258988331419936,0.7726202914473417,1.7690526394888817,1.168734280891042,0.8258132384817941,-77.80794147805737,-170.61800390698994,1.5151581972540507,0.5372093023255814,0.4627906976744186,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
ALL,10,1,430,1.7480140886329074,0.47691848805080694,0.6080805518630669,1.292288408293523,0.7865338091734025,0.5305969140594275,-71.00259511835088,-174.66211366146462,1.3964102337142161,0.5162790697674419,0.4790697674418605,430,-0.5479272841857554,-0.10890225413778776,-0.11693744656588513,-0.6014108217034074,-0.6919837784337886,-0.7714290620819189,-38.9280519065747,-108.7676346640189,0.7663668287081974,0.4790697674418605,0.5209302325581395
ALL,10,3,430,1.4691274571257644,7.630804037593586e-05,0.5024596423078652,1.0881120825376993,0.5912226872944893,0.3267175369167289,-58.96050176688675,-157.27030864657766,1.377671940927621,0.5,0.5,430,-0.8268139156928983,-0.08535207953300195,-0.35810100307739184,-0.9137397460426505,-1.0791201520338507,-1.238491426458057,-84.74922735871974,-224.4993732940743,0.7829509451190605,0.4906976744186046,0.5046511627906977
