partition,cap,extra_cost_bps,avg_tickets,max_tickets,total_n,total_mean,total_median,total_trim10,total_exbest1,total_extop3,total_extop5,total_worst1,total_worst3_sum,total_pf,total_positive,total_negative,inc_n,inc_mean,inc_median,inc_trim10,inc_exbest1,inc_extop3,inc_extop5,inc_worst1,inc_worst3_sum,inc_pf,inc_positive,inc_negative
JUL_AUG,3,0.5,1.92,3,25,-0.13955179220000002,-0.188415785,-0.22766681523809526,-0.22818297812500002,-0.34843571840909093,-0.43971430400000006,-1.059722125,-3.176189365,0.6384521620102211,0.36,0.64,25,-0.17222811580000003,-0.14582972000000005,-0.17644973642857145,-0.2124646985416667,-0.25076150886363635,-0.27583765974999996,-1.085264185,-2.43744922,0.21952229095505146,0.12,0.64
JUL_AUG,3,1,1.92,3,25,-0.2160842188,-0.27647885,-0.30400820666666667,-0.302491345,-0.4237947772727273,-0.514684575,-1.11109765,-3.31196371,0.4994770304190648,0.28,0.72,25,-0.2094906336,-0.19070715,-0.20957282333333335,-0.24767232166666667,-0.2868343504545454,-0.3155177855,-1.11170484,-2.58466258,0.17005219979905065,0.08,0.68
JUL_AUG,3,1.5,1.92,3,25,-0.29261664540000004,-0.43676552,-0.3802753638095238,-0.376799711875,-0.49915383613636366,-0.589654846,-1.164032095,-3.4477380550000003,0.3932183385556319,0.28,0.72,25,-0.2467531514,-0.23099947999999992,-0.24269591023809525,-0.28287994479166667,-0.32329586772727276,-0.35562545450000005,-1.138145495,-2.73187594,0.13267895943033514,0.08,0.68
JUL_AUG,3,2,1.92,3,25,-0.369149072,-0.54955286,-0.456542520952381,-0.45110807875,-0.574512895,-0.664625117,-1.21696654,-3.5835124,0.3098546332549963,0.24,0.76,25,-0.28401566920000004,-0.27358435999999997,-0.2758189971428572,-0.3180875679166667,-0.35975738500000004,-0.3957331235,-1.16458615,-2.8790893000000004,0.10288129697083592,0.08,0.68
JUL_AUG,3,2.5,1.92,3,25,-0.44568149860000006,-0.61860304,-0.532809678095238,-0.525416445625,-0.6498719538636363,-0.739595388,-1.269900985,-3.7192867450000002,0.24674777278356955,0.2,0.8,25,-0.32127818700000005,-0.336854585,-0.3089420840476191,-0.3532951910416667,-0.3962189022727273,-0.4358407925000001,-1.1910268050000001,-3.0263026600000003,0.07856781498946079,0.08,0.68
JUL_AUG,3,3,1.92,3,25,-0.5222139252,-0.71218785,-0.6090768352380953,-0.5997248125,-0.7252310127272728,-0.814565659,-1.32283543,-3.8550610900000004,0.19863132052317464,0.2,0.8,25,-0.35854070480000005,-0.37351087,-0.342065170952381,-0.3885028141666667,-0.4326804195454546,-0.4759484615000001,-1.21746746,-3.17351602,0.05835207537486699,0.08,0.68
JUL_AUG,5,0,2.04,4,25,-0.01034017040000001,-0.07058824,-0.11882087809523811,-0.13314254250000002,-0.24319039590909092,-0.33236957450000004,-1.0200489,-3.04827037,0.9666728327141385,0.44,0.56,25,-0.08228640279999999,-0.12418301,-0.13272704666666665,-0.15652500666666666,-0.18639455636363636,-0.205034012,-0.6688075099999999,-1.6046523,0.49833687349394495,0.12,0.6
JUL_AUG,5,0.5,2.04,4,25,-0.0913732512,-0.155065545,-0.1990155242857143,-0.21033455041666668,-0.32005079363636363,-0.40842641449999995,-1.059722125,-3.17175971,0.7393501295374636,0.36,0.64,25,-0.12404957479999998,-0.15067072,-0.16711699119047618,-0.19461627083333333,-0.22302387363636364,-0.245326261,-0.709448575,-1.83397483,0.3679357119456527,0.08,0.64
JUL_AUG,5,1,2.04,4,25,-0.17240633200000002,-0.25893363,-0.2792101704761905,-0.28752655833333335,-0.39765367954545455,-0.485864945,-1.10147071,-3.29524905,0.5658315185262078,0.28,0.72,25,-0.1658127468,-0.18428336,-0.2015069357142857,-0.232707535,-0.262631575,-0.28889473250000003,-0.7961593600000001,-2.06329736,0.282555511807402,0.08,0.64
JUL_AUG,5,1.5,2.04,4,25,-0.25343941280000004,-0.395403255,-0.3594048166666667,-0.36471856625000004,-0.4752565654545455,-0.5633034754999999,-1.1446373850000002,-3.41873839,0.4406877803090309,0.24,0.76,25,-0.2075759188,-0.22686751500000002,-0.23589688023809524,-0.27079879916666666,-0.30223927636363634,-0.332463204,-0.9046988900000001,-2.29261989,0.21955303510821003,0.08,0.64
JUL_AUG,5,2,2.04,4,25,-0.33447249360000003,-0.48704636,-0.43959946285714285,-0.4419105741666667,-0.5528594513636363,-0.640742006,-1.1878040600000002,-3.54222773,0.3474899209277065,0.2,0.8,25,-0.2493390908,-0.3056174499999999,-0.2702868247619048,-0.30889006333333335,-0.34184697772727274,-0.3760316755,-1.01323842,-2.52194242,0.17114997536956167,0.08,0.64
JUL_AUG,5,2.5,2.04,4,25,-0.41550557439999997,-0.53296923,-0.516298154047619,-0.5191025820833334,-0.6304623372727273,-0.7181805365,-1.2918300800000002,-3.7412158400000006,0.27680862735271305,0.2,0.8,25,-0.2911022628,-0.3422734649999999,-0.3046767692857143,-0.3469813275,-0.38145467909090913,-0.41960014700000003,-1.1217779500000002,-2.7512649500000004,0.13279861529695794,0.08,0.64
JUL_AUG,5,3,2.04,4,25,-0.49653865519999996,-0.6371084499999999,-0.590628139047619,-0.59629459,-0.7080652231818182,-0.795619067,-1.4546611900000002,-3.9868868500000003,0.21988631903915898,0.2,0.8,25,-0.33286543479999997,-0.3789294799999999,-0.3390667138095238,-0.3850725916666667,-0.42106238045454547,-0.4631686185,-1.23031748,-2.98058748,0.10166238194740734,0.08,0.64
JUL_AUG,7,0,2.04,3,25,-0.1303433112,-0.06797386,-0.20370386619047623,-0.20919720166666667,-0.32916260136363634,-0.4059177235,-1.06281797,-3.0911582600000003,0.6373770135597365,0.4,0.6,25,-0.20228954359999998,-0.16346343,-0.18607210809523808,-0.23257966583333334,-0.2666960718181818,-0.293365679,-1.43258164,-2.46199202,0.1380657397895546,0.12,0.68
