partition,group,horizon,n,mean,median,trim10,exbest1,extop3,extop5,worst1,worst3_sum,pf,positive,negative
JAN_JUN,CONTEXT_ONLY,10,16661,-0.32308575213252505,-0.39962879,-0.43420978044489456,-0.33746408456242494,-0.3654739995005403,-0.3910865960704851,-407.9764629,-1016.13625781,0.9478363403251924,0.4846047656203109,0.514554948682552
JAN_JUN,CONTEXT_ONLY,15,16599,-0.2255383366648593,-0.4232908,-0.3844136770958512,-0.2424827984443909,-0.27369023822788624,-0.30282841026154034,-441.0603814,-1132.18461152,0.9699308161411588,0.4868365564190614,0.5128622206156997
JAN_JUN,CONTEXT_ONLY,30,16407,0.05491439514292681,-0.37659861,-0.30804026583682487,0.03262094976472023,-0.008514539971348446,-0.04824528574686013,-470.39395641,-1304.42284071,1.005214335362362,0.49222892667763757,0.5077101237276772
JAN_JUN,CONTEXT_ONLY,60,16023,0.7920667451794297,-0.55902214,-0.21747604368281456,0.7628057254755961,0.7078108982203496,0.6573626971238608,-461.66034168,-1312.0601697500001,1.053931300149316,0.49148099606815204,0.508269362790988
JAN_JUN,CONTEXT_ONLY,90,15778,1.5286966860907591,-0.333480995,0.03991340721482891,1.4925727857862712,1.4276624370237718,1.3668762280916755,-547.62299155,-1480.3567127000001,1.0866962962245919,0.49600709849157054,0.5038661427303841
JUL_AUG,CROSSOVER_EVENT,1,88,-1.4306403669318182,-0.88920553,-1.2885603570833333,-1.5723924794252873,-1.7596979030588236,-1.8970384260240962,-13.82741992,-36.11565301,0.35351772015479477,0.3068181818181818,0.6931818181818182
JUL_AUG,CROSSOVER_EVENT,3,88,-1.5454360857954546,-1.6646716000000001,-1.4054739572222221,-1.694895657586207,-1.959224048117647,-2.1842699789156628,-18.94773728,-44.093104929999996,0.46564808313111705,0.42045454545454547,0.5795454545454546
JUL_AUG,CROSSOVER_EVENT,5,88,-0.64298526,0.43289015999999997,-0.4867975366666666,-0.9728234225287355,-1.2944095255294117,-1.5680502085542167,-23.33606929,-59.80111651,0.801186568918992,0.5227272727272727,0.4772727272727273
JUL_AUG,CROSSOVER_EVENT,10,88,0.7966132123863635,1.1776623449999999,0.599461788611111,0.529729046321839,0.03147708270588229,-0.479479763493976,-26.80774068,-66.16225592,1.229599667244918,0.5681818181818182,0.4318181818181818
JUL_AUG,CROSSOVER_EVENT,15,88,0.8166085153409092,0.6695300049999999,0.8753921434722223,0.4830895964367816,-0.17508832929411758,-0.6868776561445783,-43.37302266,-94.42906882,1.1866363680668737,0.5340909090909091,0.4659090909090909
JUL_AUG,CROSSOVER_EVENT,30,86,0.7116018722093024,-0.498157005,-0.5509306575714285,0.0034163874117647324,-1.152930606385542,-2.261636358765432,-42.01197178,-108.59030185,1.0976577266076564,0.4883720930232558,0.5116279069767442
JUL_AUG,CROSSOVER_EVENT,60,86,4.243067161395349,3.796966215,3.1554649868571425,2.9125993165882353,1.5305252278313253,0.20112282802469122,-54.29014818,-154.98606638,1.5248307213247687,0.5697674418604651,0.43023255813953487
JUL_AUG,CROSSOVER_EVENT,90,85,5.931077291764706,3.97600652,4.481226724057971,4.640358375119048,2.5650912219512194,0.89339521125,-75.64326082,-181.35188603,1.578843244537669,0.5647058823529412,0.43529411764705883
JUL_AUG,CONTEXT_ONLY,1,4856,-0.8457886551873971,-0.66582818,-0.7169553703268142,-0.8505936359835222,-0.8589516145003091,-0.8666393166893424,-94.37015205,-249.4021072,0.5458169753156061,0.40403624382207576,0.5930807248764415
JUL_AUG,CONTEXT_ONLY,3,4856,-0.8133834396684514,-0.8012623,-0.8061958037364899,-0.8284522489474768,-0.8488705777745724,-0.8645611273922902,-91.53232632,-230.32383664,0.6978651546084983,0.42977759472817134,0.568163097199341
JUL_AUG,CONTEXT_ONLY,5,4837,-0.8645560421211496,-0.84851412,-0.7678853488633428,-0.8791221558498761,-0.8952588285208936,-0.9104186332305463,-86.70304394,-220.4871839,0.7370170768396794,0.44635104403555925,0.5511680793880505
JUL_AUG,CONTEXT_ONLY,10,4819,-0.9440192018676075,-0.91721481,-0.9098677350842624,-0.960400247328767,-0.989612094092608,-1.0133870766285833,-84.28840275,-231.28437831000002,0.7875745258958408,0.4573562979871343,0.5416061423531853
JUL_AUG,CONTEXT_ONLY,15,4801,-0.977921397637992,-0.9960705,-0.9713413802967977,-0.9961933361020833,-1.0316908272446854,-1.0608287419557965,-93.30286709,-258.27446159,0.8163281614882308,0.4636534055405124,0.5355134347011039
JUL_AUG,CONTEXT_ONLY,30,4749,-1.1751126351926722,-1.37415894,-1.3339339400052617,-1.2080495118513057,-1.2618628755520438,-1.3104563284822934,-92.20383634,-268.06653606,0.8414108852167429,0.4624131396083386,0.536534007159402
JUL_AUG,CONTEXT_ONLY,60,4644,-1.54807036747416,-1.1166764,-1.9852583708557587,-1.5939071098406203,-1.6741524656582631,-1.7449610112028455,-156.48569917,-435.62486157,0.8536242429350354,0.4748062015503876,0.5249784668389319
JUL_AUG,CONTEXT_ONLY,90,4543,-1.896822432394893,-2.29042602,-2.5513745880357632,-1.9479847363848524,-2.043601866623348,-2.1299627614874397,-168.42986133,-489.74291198000003,0.8576651772695904,0.4690732995817742,0.5302663438256658
ALL,CROSSOVER_EVENT,1,433,0.12046356517321016,-0.33460413,-0.31231861616714696,0.030429654699074084,-0.13001266479069767,-0.2615763970327103,-22.94849314,-60.95655127,1.0595134409936173,0.45265588914549654,0.5450346420323325
ALL,CROSSOVER_EVENT,3,433,0.42700519325635106,-0.29883827,-0.041272721959654174,0.23239309699074073,-0.09287347720930231,-0.31858226864485983,-36.91843452,-106.64706411,1.1335332901852873,0.48498845265588914,0.5150115473441108
ALL,CROSSOVER_EVENT,5,432,0.7855770652314815,0.187203575,0.020875545000000016,0.3330676637587007,-0.04076887030303028,-0.3049132122482436,-47.94567867,-125.60452516999999,1.21256137773278,0.5046296296296297,0.4930555555555556
ALL,CROSSOVER_EVENT,10,430,2.2959413727441857,1.02589883,0.7726202912209302,1.7690526394172494,1.1687342808196721,0.8258132384235295,-77.80794148,-170.61800391,1.5151581972358832,0.5372093023255814,0.4627906976744186
ALL,CROSSOVER_EVENT,15,428,2.2079039947429906,0.2333237,0.48913282523255813,1.5547873591100703,0.4380197071529412,-0.17138045120567377,-112.38051835,-259.33420689,1.364911628818186,0.5046728971962616,0.4953271028037383
ALL,CROSSOVER_EVENT,30,424,2.554823242311321,0.396736675,0.31880210261764713,1.980080832955083,1.1595182132779098,0.6386781985918855,-116.5842294,-315.81642611,1.302911154923207,0.5070754716981132,0.49292452830188677
ALL,CROSSOVER_EVENT,60,418,3.4464109816746413,1.13060552,0.8573735561607143,2.9868725014868107,2.0976395245060244,1.2923006647215496,-204.04166732,-558.96837547,1.2770750907098556,0.5119617224880383,0.4880382775119617
ALL,CROSSOVER_EVENT,90,414,2.971865658888889,-0.501468515,1.0902773880722891,1.92745996905569,0.6955419015085158,-0.14327643276283622,-260.54311713,-709.50990634,1.1802833704124867,0.49033816425120774,0.5096618357487923
ALL,CONTEXT_ONLY,1,21643,-0.5397449395605969,-0.51832378,-0.5239614523863702,-0.5468607333767674,-0.5568256513507394,-0.5636514934051207,-127.60939616,-306.56348195,0.7596666090694256,0.43635355542207643,0.5613362288037703
ALL,CONTEXT_ONLY,3,21643,-0.49343070199325423,-0.56054085,-0.5427707634594282,-0.5006715042657796,-0.5146351324445471,-0.5274315428001665,-313.82804838,-622.26337014,0.857247275326443,0.4595481217945756,0.5391119530564155
ALL,CONTEXT_ONLY,5,21560,-0.4831405135041744,-0.50144125,-0.5139924962563776,-0.4928465244784081,-0.5085035544495987,-0.522605394559499,-290.99145379,-585.39254453,0.8844496683456435,0.47119666048237474,0.5277829313543599
ALL,CONTEXT_ONLY,10,21480,-0.46239107309497207,-0.51911924,-0.5546761281308193,-0.47354998755109645,-0.4952877225627415,-0.5151649302887078,-407.9764629,-1016.13625781,0.9202932567248401,0.47849162011173185,0.5206238361266294
ALL,CONTEXT_ONLY,15,21400,-0.3943323121663551,-0.57099561,-0.5355168423370328,-0.40748306550025704,-0.43170368853998226,-0.45431807758541715,-441.0603814,-1132.18461152,0.943766343212552,0.4816355140186916,0.5179439252336449
