partition,cap,extra_cost_bps,reference_risk,compounded_return,closed_opportunity_max_dd,mean_log_growth,worst_day_R,max_consecutive_losses
JUL_AUG,7,1.5,0.005,-0.04610910711045302,-0.05768859359943701,-0.0018882392845872586,-2.8431725200000004,10
JUL_AUG,7,2,0.0025,-0.028270237449789293,-0.033676187022901205,-0.0011471014097872818,-3.16414001,10
JUL_AUG,7,2,0.005,-0.0558435323334906,-0.06630474863945213,-0.0022985350769946142,-3.16414001,10
JUL_AUG,7,2.5,0.0025,-0.03323787342953999,-0.038099207832724136,-0.0013521121970675493,-3.4851075000000002,18
JUL_AUG,7,2.5,0.005,-0.06548352475731622,-0.07484642434627298,-0.002709040889348151,-3.4851075000000002,18
JUL_AUG,7,3,0.0025,-0.03818137460407667,-0.04250309440714972,-0.00155717540726543,-3.80607499,18
JUL_AUG,7,3,0.005,-0.07502995355747188,-0.08331422799630483,-0.0031197569687328687,-3.80607499,18
JUL_AUG,10,0,0.0025,-0.0019752607793767085,-0.012037421299201267,-7.908856718763123e-05,-1.54569255,4
JUL_AUG,10,0,0.005,-0.004030762076762895,-0.023961691824985865,-0.00016155629974996298,-1.54569255,4
JUL_AUG,10,0.5,0.0025,-0.006962712026295281,-0.015166313193174075,-0.0002794825924987232,-1.81614829,4
JUL_AUG,10,0.5,0.005,-0.013957415402909401,-0.030137076018606157,-0.0005622294426235183,-1.81614829,4
JUL_AUG,10,1,0.0025,-0.011926475390148572,-0.019004603844464896,-0.00047992665527263133,-2.08660403,10
JUL_AUG,10,1,0.005,-0.02379001227683053,-0.03769986964362115,-0.0009631025742028835,-2.08660403,10
JUL_AUG,10,1.5,0.0025,-0.01686665760546424,-0.023280657372128366,-0.0006804207846699911,-2.3570597699999998,10
JUL_AUG,10,1.5,0.005,-0.03352939840992886,-0.046076941523482406,-0.0013641759275580057,-2.3570597699999998,10
JUL_AUG,10,2,0.0025,-0.021783364951397877,-0.027539088263200173,-0.0008809650098796273,-2.6275155100000003,10
JUL_AUG,10,2,0.005,-0.04317641231156677,-0.054385048313191575,-0.0017654497362097126,-2.6275155100000003,10
JUL_AUG,10,2.5,0.0025,-0.02667670325356386,-0.03177996504830616,-0.0010815593601185935,-2.8979712500000003,10
JUL_AUG,10,2.5,0.005,-0.05273188534703299,-0.06262472587578849,-0.002166924234130953,-2.8979712500000003,10
JUL_AUG,10,3,0.0025,-0.03154677788586968,-0.03600335600715887,-0.00128220386463221,-3.16842699,10
JUL_AUG,10,3,0.005,-0.062196641795066454,-0.07079650615321498,-0.002568599655748044,-3.16842699,10
ALL,1,0,0.0025,0.07614541028031985,-0.009741962429461015,0.0006166856493678533,-1.15843226,4
ALL,1,0,0.005,0.15663862173084797,-0.01941958595676352,0.0012228408290294581,-1.15843226,4
ALL,1,0.5,0.0025,0.06637289421663772,-0.011200859379025263,0.0005400258112009103,-1.23809482,4
ALL,1,0.5,0.005,0.13573773166987402,-0.022360715983868462,0.001069600198617329,-1.23809482,4
ALL,1,1,0.0025,0.0566881977335858,-0.01309491100611837,0.0004633586169538359,-1.31775738,4
ALL,1,1,0.005,0.11521062758855583,-0.02610406334918114,0.0009163301742764548,-1.31775738,4
ALL,1,1.5,0.0025,0.04709053993271084,-0.014985481109212717,0.00038668406495825496,-1.3974199400000002,4
ALL,1,1.5,0.005,0.09505069431999358,-0.029833655403644244,0.0007630307426846377,-1.3974199400000002,4
ALL,1,2,0.0025,0.03757914678599228,-0.016872575820533697,0.000310002153545136,-1.4770825,4
ALL,1,2,0.005,0.07525143254457856,-0.033549540585276705,0.0006097018905091958,-1.4770825,4
ALL,1,2.5,0.0025,0.028153251076038277,-0.018756201261977856,0.00023331288104478913,-1.6040080200000002,4
ALL,1,2.5,0.005,0.05580645678264151,-0.03725176716888712,0.00045634360440695174,-1.6040080200000002,4
ALL,1,3,0.0025,0.01881209233679293,-0.02126795723410313,0.00015661624578686684,-1.7392527500000001,4
ALL,1,3,0.005,0.03670949342151064,-0.04235569290875829,0.00030295587102422,-1.7392527500000001,4
ALL,3,0,0.0025,0.09713600159222135,-0.02106301008958744,0.0007790180633276317,-1.5325416,5
ALL,3,0,0.005,0.1998850264581724,-0.04178075963046868,0.0015313087472176802,-1.5325416,5
ALL,3,0.5,0.0025,0.07803817295497861,-0.02444685889725773,0.0006314527963385571,-1.7846134750000002,5
ALL,3,0.5,0.005,0.15852832425672392,-0.048397152789314446,0.0012365589383974813,-1.7846134750000002,5
ALL,3,1,0.0025,0.05926895239992103,-0.027819512550809167,0.0004838571650980462,-2.03668535,9
