opportunity,time,partition,deadline_minutes,delay_minutes,entry_bid,exit_ask,gross_executable_bps,control_bps,incremental_bps,entry_improvement_original_bps,entry_delay_ms
1768271400116_CTXSELL,2026.01.13 02:30:00,JAN_JUN,10,5,4588.09,4585.48,5.688641678782635,6.167848292728339,-0.47920661394570363,-0.4794793725800014,801
1768305300296_CTXSELL,2026.01.13 11:55:00,JAN_JUN,10,0,4585.97,4583.1,6.258217999681399,6.258217999681399,0.0,0.0,0
1768305300296_CTXSELL,2026.01.13 11:55:00,JAN_JUN,10,1,4586.32,4583.1,7.020879485075933,6.258217999681399,0.7626614853945339,0.7631973170331561,50
1768305300296_CTXSELL,2026.01.13 11:55:00,JAN_JUN,10,3,4585.99,4583.1,6.3018017919782165,6.258217999681399,0.043583792296817414,0.04361127525807422,94
1768305300296_CTXSELL,2026.01.13 11:55:00,JAN_JUN,10,5,4586.13,4583.1,6.6068776942645435,6.258217999681399,0.3486596945831444,0.3488902020725266,61
1768313700469_CTXSELL,2026.01.13 14:15:00,JAN_JUN,10,0,4583.58,4579.86,8.115926851937251,8.115926851937251,0.0,0.0,0
1768313700469_CTXSELL,2026.01.13 14:15:00,JAN_JUN,10,1,4583.64,4579.86,8.246720946672632,8.115926851937251,0.13079409473538028,0.13090204599985203,17
1768313700469_CTXSELL,2026.01.13 14:15:00,JAN_JUN,10,3,4584.42,4579.86,9.946732629210238,8.115926851937251,1.830805777272987,1.8326286439860229,1248
1768313700469_CTXSELL,2026.01.13 14:15:00,JAN_JUN,10,5,4583.7,4579.86,8.377511617252756,8.115926851937251,0.26158476531550434,0.2618040919977198,285
1768452600111_CTXSELL,2026.01.15 04:50:00,JAN_JUN,10,0,4604.1,4603.13,2.106817836276915,2.106817836276915,0.0,0.0,0
1768452600111_CTXSELL,2026.01.15 04:50:00,JAN_JUN,10,1,4601.37,4603.13,-3.8249477872899122,2.106817836276915,-5.931765623566827,-5.929497621686046,8
