view,arm,partition,n,mean,median,positive_rate,negative_rate,trim10,exbest1,extop3,extop5,worst1,stddev,event_days,ci95_low,ci95_high,ci98333_low,ci98333_high
COMMON_DEADLINE,DELAY_3,APR_JUN,195,-0.795028533173964,-1.406732533986,0.4256410256410256,0.5743589743589743,-0.5543327085274714,-0.9612675438522887,-1.2731906408212084,-1.5246372544334421,-58.960501766887,11.428777001023123,53,-2.6030293207969653,1.0126376368793841,-3.04937920212219,1.370659087204326
COMMON_DEADLINE,DELAY_5,APR_JUN,195,-0.8142336869016205,-0.591469738929,0.4461538461538462,0.5487179487179488,-0.48513859460715286,-1.005417416981541,-1.2871915366470363,-1.4745518187765159,-58.233144686225,9.96848753376015,53,-2.417235699615323,0.7341236625016537,-2.770236581966656,1.0543801758297735
COMMON_DEADLINE,CONTROL,2026.01,39,7.001167958457334,1.190853347533,0.5128205128205128,0.48717948717948717,3.1143555114793338,5.014799992278711,1.4237237372406113,-0.9739884588854999,-18.71186710593,23.743194756903065,13,-1.0498785749533912,18.575416999352225,-2.3533837500873,21.74810073193967
COMMON_DEADLINE,DELAY_1,2026.01,39,5.67980491220623,1.3524213796,0.5384615384615384,0.46153846153846156,4.0910572603740905,4.249120264676579,2.1614720934021108,0.362936769094147,-26.675644877239,17.84936901465932,13,-0.947004180876968,14.624701367960393,-2.072585186241778,16.940807049234333
COMMON_DEADLINE,DELAY_3,2026.01,39,3.9508296266506155,1.739208998714,0.5641025641025641,0.4358974358974359,2.0880395071336664,2.477818224591842,0.15012620737744445,-1.1082487172234412,-28.993304638929,17.450392272094106,13,-2.2388779252012223,12.577356309551691,-3.182723334193871,14.776956792422393
COMMON_DEADLINE,DELAY_5,2026.01,39,4.011746825111923,0.676256418983,0.5384615384615384,0.46153846153846156,2.256898005345364,2.7802287204002893,0.33980505759533325,-0.8444476893788824,-30.468602696641,16.49621312362538,13,-1.8064946890016063,12.027914594603946,-2.659470871862435,14.125788232297857
COMMON_DEADLINE,CONTROL,2026.02,47,14.206068426047255,3.769944456151,0.5957446808510638,0.40425531914893614,5.3478804267683335,9.551174088107087,4.28593590278775,2.4478073195072145,-23.685324770507,43.9838878150653,9,2.0284245940791337,28.14698249739849,0.8702151492299822,31.69282077108473
COMMON_DEADLINE,DELAY_1,2026.02,47,12.670152087472214,1.352941972318,0.5106382978723404,0.48936170212765956,4.673520766416103,8.657452546890545,4.137229525070454,1.890733919257905,-17.308365845911,39.26225179132135,9,1.0194996774837222,25.300055618168656,-0.36858127123495,28.742323037191273
COMMON_DEADLINE,DELAY_3,2026.02,47,9.235714703426298,0.375327918075,0.5106382978723404,0.48936170212765956,2.2976147540911027,5.851171041426739,1.245587999356909,-0.14861187014650007,-31.425572371307,34.622513389727175,9,0.30738088208865083,18.533253604793558,-0.9625991094997184,20.736033482024443
COMMON_DEADLINE,DELAY_5,2026.02,47,7.046811744533894,3.325432209518,0.5957446808510638,0.40425531914893614,2.884541664367282,3.914827864904239,2.0490892138819774,0.9747760448236191,-16.731459008999,24.925116936095105,9,0.11026814286393916,16.079126065287905,-0.8543988159007587,18.439144388699905
