view,arm,partition,metric,n,mean,median,positive_rate,negative_rate,trim10,exbest1,extop3,extop5,worst1,stddev,event_days,ci95_low,ci95_high,ci98333_low,ci98333_high
EQUAL_HOLD,DELAY_3,ALL,mae_atr,428,0.009392954575189258,-0.016835324767499993,0.4696261682242991,0.5257009345794392,-0.007028848289360462,0.002755116061313822,-0.006095315063098819,-0.013998602073874699,-1.8774462624319999,0.59404190281686,124,-0.04398930439014795,0.061419288067131275,-0.055669122557484914,0.07353005166780884
EQUAL_HOLD,DELAY_3,ALL,mfe_atr,428,-0.005704515519766359,-0.013785867420500017,0.4766355140186916,0.514018691588785,-0.01390882182039535,-0.014696704459117098,-0.029426516914529414,-0.04151131560212766,-4.490927327435999,0.7788874286804672,124,-0.07284911668519124,0.06430767304191731,-0.08743989799903301,0.08084056332330661
EQUAL_HOLD,DELAY_3,ALL,stop_r,428,-0.0017683796751098181,-0.005221426500500087,0.4742990654205608,0.5233644859813084,-0.02645606984527326,-0.013272895549002347,-0.027028036932334125,-0.03836441527294799,-4.198590536459,0.7926374684732337,124,-0.06879041464968676,0.06788622099113546,-0.08230577131723597,0.08523792068423171
EQUAL_HOLD,DELAY_3,ALL,entry_improvement_price,428,-0.3948364485981612,-0.040000000000500004,0.49065420560747663,0.5046728971962616,-0.16656976744188662,-0.4385011709602178,-0.5201411764706212,-0.6001418439716643,-42.57,5.467791981551259,124,-0.8726206896551977,0.053025404157027715,-0.9846838407494708,0.15079229122052887
EQUAL_HOLD,DELAY_3,ALL,entry_improvement_points,428,-39.483644859814625,-4.0000000000415,0.49065420560747663,0.5046728971962616,-16.65697674418729,-43.85011709602028,-52.014117647060516,-60.01418439716487,-4256.999999999971,546.7791981551252,124,-87.2620689655207,5.302540415703023,-98.46838407494654,15.079229122053254
EQUAL_HOLD,DELAY_3,ALL,entry_improvement_bps,428,-0.8214081649554766,-0.085331009121,0.49065420560747663,0.5046728971962616,-0.34774703231627035,-0.908697440658082,-1.07522397146336,-1.2355226816947305,-84.578903553823,11.394184434224867,124,-1.8329334927762837,0.1284856222814053,-2.055343907009691,0.3425468769226059
EQUAL_HOLD,DELAY_5,ALL,gross_executable_bps,428,-1.3151642319259418,-0.31157207995950253,0.48130841121495327,0.5186915887850467,-0.2738456564774274,-1.6877420218243302,-2.000987506468,-2.2124362110496953,-172.00051915745,20.995719063822822,124,-2.9919662337012474,0.2678697569327292,-3.425737877135289,0.5987226531800046
EQUAL_HOLD,DELAY_5,ALL,mae_bps,428,0.6543661264295747,0.5797188037419998,0.5257009345794392,0.4742990654205608,0.39307990923102903,0.3780135784695105,0.19411757520607523,0.053146575407869906,-40.852376403054,11.672460895432671,124,-0.33910120082537804,1.6215540935396673,-0.5740113956826023,1.8201600076663815
EQUAL_HOLD,DELAY_5,ALL,mfe_bps,428,-0.49624355100901874,-0.494404906381,0.4719626168224299,0.5280373831775701,-0.5860974246923896,-0.785864063089979,-1.138774102957106,-1.389395864713863,-182.07408326867898,17.48572056158033,124,-1.9820540343772146,1.023360764273023,-2.3387942746121775,1.3564252486367003
EQUAL_HOLD,DELAY_5,ALL,mae_atr,428,0.02194404633954673,0.04456836526150004,0.5257009345794392,0.4742990654205608,0.02500734592849128,0.015594503298817331,0.006025122651480002,-0.003094817867151298,-2.312757201645,0.6891904165499454,124,-0.04312100303287838,0.08246685211910663,-0.05652861616982258,0.09717057935409391
EQUAL_HOLD,DELAY_5,ALL,mfe_atr,428,-0.03360730009616823,-0.040765364092999995,0.4719626168224299,0.5257009345794392,-0.04091110409864826,-0.04610184222993444,-0.06523518759645178,-0.08011420603591017,-11.849001550104,1.0727812710588451,124,-0.1334836794272975,0.06491083863872488,-0.15557829375287702,0.08427053220058689
EQUAL_HOLD,DELAY_5,ALL,stop_r,428,-0.030147883075507014,-0.011807903848499945,0.4649532710280374,0.5327102803738317,-0.038711077735622094,-0.0420738623108876,-0.06258468746443059,-0.07540343182623167,-12.855439044406,1.100294384848084,124,-0.13049288205689485,0.06464492109984478,-0.1542564846,0.08447607879318243
EQUAL_HOLD,DELAY_5,ALL,entry_improvement_price,428,-0.5895093457943948,-0.235,0.4766355140186916,0.5233644859813084,-0.2113081395348779,-0.647306791569089,-0.7376705882352965,-0.8153427895981111,-99.0,7.5227626778135175,124,-1.2906088992974216,0.016319290465627505,-1.4450413223140435,0.13518427518426537
EQUAL_HOLD,DELAY_5,ALL,entry_improvement_points,428,-58.95093457944031,-23.499999999967002,0.4766355140186916,0.5233644859813084,-21.130813953488804,-64.73067915690976,-73.76705882353065,-81.53427895981214,-9900.0,752.2762677813527,124,-129.06088992974395,1.6319290465625,-144.50413223140612,13.518427518426158
EQUAL_HOLD,DELAY_5,ALL,entry_improvement_bps,428,-1.240589469774306,-0.54328803618,0.4766355140186916,0.5233644859813084,-0.46725085160981106,-1.3548552567578525,-1.5426766430075247,-1.70119908436778,-196.03494570426,15.465453520482312,124,-2.6806583112089113,0.029257822529737788,-3.016469649594764,0.2870935556765416
EQUAL_HOLD,DELAY_1,JAN_JUN,gross_executable_bps,340,-0.8308506226902177,-0.8697023697725006,0.4176470588235294,0.5823529411764706,-0.5822756794771212,-0.9245808626130264,-1.0795757099940206,-1.2155672399586805,-55.621412614981,8.936630425630305,93,-1.8325353311002253,0.1116308211317798,-2.0606231515507876,0.3405214919154163
EQUAL_HOLD,DELAY_1,JAN_JUN,mae_bps,340,0.5601559235028941,0.07642918331799953,0.5147058823529411,0.4852941176470588,0.2961766701366765,0.4516247889001623,0.28892819900036204,0.17051786265513433,-22.414739204278,6.326556238218773,,,,,
EQUAL_HOLD,DELAY_1,JAN_JUN,mfe_bps,340,-0.7881013582978412,-0.4406733276625019,0.45294117647058824,0.5441176470588235,-0.389440024800478,-0.8678457615134809,-1.0107048171570683,-1.1335624694618538,-38.501973188873,7.498316335604877,,,,,
EQUAL_HOLD,DELAY_1,JAN_JUN,mae_atr,340,0.0502202451840147,0.00784562052800003,0.5147058823529411,0.4852941176470588,0.02014202571234559,0.042094535216985245,0.03061710821892878,0.02160648500274925,-1.4540466392310003,0.4344187437603378,,,,,
