view,arm,partition,metric,n,mean,median,positive_rate,negative_rate,trim10,exbest1,extop3,extop5,worst1,stddev,stop_rate
COMMON_DEADLINE,CONTROL,2026.06,stop_r,63,0.17096403869255558,0.209033683048,0.6349206349206349,0.36507936507936506,0.16362903689682354,0.1479359224647581,0.10228669088148336,0.05861565754836208,-1.112182741117,0.7587557391237919,0.14285714285714285
COMMON_DEADLINE,DELAY_1,2026.06,mae_bps,63,8.433797832015651,6.961415618572,1.0,0.0,6.972844063819314,7.6704564662597265,7.106776790739784,6.5666030170172585,0.513778190785,8.71121380687939,0.14285714285714285
COMMON_DEADLINE,DELAY_1,2026.06,mfe_bps,63,10.69325508170527,10.065762984834,0.9682539682539683,0.0,10.256135603428843,10.395425904000193,9.885682322454965,9.419034264562757,0.0,7.188075973034507,0.14285714285714285
COMMON_DEADLINE,DELAY_1,2026.06,mae_atr,63,0.6853182858216031,0.475599495162,1.0,0.0,0.5810079167251176,0.6142829347824194,0.5788043333394166,0.5451618969347586,0.042384997057,0.7211953999686438,0.14285714285714285
COMMON_DEADLINE,DELAY_1,2026.06,mfe_atr,63,0.8820638214569365,0.798778527805,0.9682539682539683,0.0,0.8501509667792745,0.8580353764616129,0.8178804867089833,0.7805711397673964,0.0,0.5772843903064949,0.14285714285714285
COMMON_DEADLINE,DELAY_1,2026.06,stop_r,63,0.14692303255171427,0.157657657658,0.6666666666666666,0.31746031746031744,0.14358877214137256,0.12569650161795162,0.08420555756178333,0.04294340092105173,-1.025440313112,0.7213782878457775,0.14285714285714285
COMMON_DEADLINE,DELAY_3,2026.06,mae_bps,63,7.694175473980667,5.083816072887,1.0,0.0,5.941780552270705,6.797317374974467,6.119204866083117,5.634785158260362,0.507891948297,9.512062805207304,0.047619047619047616
COMMON_DEADLINE,DELAY_3,2026.06,mfe_bps,63,9.434504882982539,7.627411386404,0.9682539682539683,0.0,8.948000123912587,9.194695540052129,8.724437476010667,8.295132078935344,0.0,7.2460429005719424,0.047619047619047616
COMMON_DEADLINE,DELAY_3,2026.06,mae_atr,63,0.6169976387277619,0.469709718132,1.0,0.0,0.5092564603715294,0.5338324199003065,0.49869939373071664,0.4735572699911897,0.02389531576,0.7601033442215552,0.047619047619047616
COMMON_DEADLINE,DELAY_3,2026.06,mfe_atr,63,0.7764215874551111,0.656716417911,0.9682539682539683,0.0,0.7060484901077647,0.7423790995501451,0.6976629670957833,0.6569222888307069,0.0,0.6213685883330577,0.047619047619047616
COMMON_DEADLINE,DELAY_3,2026.06,stop_r,63,0.19714786279326982,0.162812210916,0.5555555555555556,0.4444444444444444,0.17749093378117647,0.1669725008291613,0.12372920921563332,0.08199275706431033,-1.039678714859,0.6891141514003206,0.047619047619047616
