schema_version,run_id,original_event_time_msc,original_event_time,arm,exit_view,status,symbol,side,point,signal_m5_bar_time_msc,original_m15_bar_time_msc,m5_fast2,m5_slow2,m5_fast1,m5_slow1,original_context_fast,original_context_slow,original_context,original_bid,original_ask,original_atr,stop_distance,entry_target_msc,common_deadline_target_msc,observed_path_end_msc,entry_time_msc,entry_time,entry_tick_index,entry_delay_ms,entry_bid,entry_ask,entry_spread_points,entry_spread_bps,entry_improvement_price,entry_improvement_points,entry_improvement_bps,equal_hold_target_msc,exit_target_msc,entry_context,entry_context_bar_time_msc,entry_context_fast,entry_context_slow,exit_time_msc,exit_time,exit_tick_index,exit_delay_ms,exit_bid,exit_ask,holding_ms,gross_executable_bps,mid_return_bps,gross_r,mfe_bps,mae_bps,mfe_atr,mae_atr,best_ask,worst_ask,time_to_mfe_ms,time_to_mae_ms,ticks_scanned,max_tick_gap_ms,stop_price,stop_hit,risk_exit_time_msc,risk_exit_ask,stop_r,stop_time_msc,stop_through_price,net_bps_0,net_bps_0_5,net_bps_1,net_bps_1_5,net_bps_2
S31_V2,RamusenEA_s31_1767225600_37588,1773069300009,2026.03.09 15:15:00,CONTROL,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1773069000000,1773068400000,5098.092858960092,5098.006647882235,5096.996287168074,5097.516043529305,5097.860134498907,5100.939793697540,BEARISH,5092.610000000000,5092.780000000000,6.337857142857,7.922321428571,1773069300009,1773069900009,1773070260009,1773069300009,2026.03.09 15:15:00,0,0,5092.610000000000,5092.780000000000,17.000000000007,0.333811469173,0.000000000000,0.000000000000,0.000000000000,1773069900009,1773069900009,BEARISH,1773068400000,5097.860134498907,5100.939793697540,1773069900105,2026.03.09 15:25:00,7791,96,5087.160000000000,5087.330000000000,600096,10.367964560412,10.701602982311,0.666471317480,15.414492765005,11.644323833948,1.238588977798,0.935647469852,5084.760000000000,5098.540000000000,574977,173877,7792,941,5100.532321428571,NO,1773069900105,5087.330000000000,0.666471317480,,0,10.367964560412,9.867964560412,9.367964560412,8.867964560412,8.367964560412
S31_V2,RamusenEA_s31_1767225600_37588,1773069300009,2026.03.09 15:15:00,CONTROL,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1773069000000,1773068400000,5098.092858960092,5098.006647882235,5096.996287168074,5097.516043529305,5097.860134498907,5100.939793697540,BEARISH,5092.610000000000,5092.780000000000,6.337857142857,7.922321428571,1773069300009,1773069900009,1773070260009,1773069300009,2026.03.09 15:15:00,0,0,5092.610000000000,5092.780000000000,17.000000000007,0.333811469173,0.000000000000,0.000000000000,0.000000000000,1773069900009,1773069900009,BEARISH,1773068400000,5097.860134498907,5100.939793697540,1773069900105,2026.03.09 15:25:00,7791,96,5087.160000000000,5087.330000000000,600096,10.367964560412,10.701602982311,0.666471317480,15.414492765005,11.644323833948,1.238588977798,0.935647469852,5084.760000000000,5098.540000000000,574977,173877,7792,941,5100.532321428571,NO,1773069900105,5087.330000000000,0.666471317480,,0,10.367964560412,9.867964560412,9.367964560412,8.867964560412,8.367964560412
S31_V2,RamusenEA_s31_1767225600_37588,1773069300009,2026.03.09 15:15:00,DELAY_1,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1773069000000,1773068400000,5098.092858960092,5098.006647882235,5096.996287168074,5097.516043529305,5097.860134498907,5100.939793697540,BEARISH,5092.610000000000,5092.780000000000,6.337857142857,7.922321428571,1773069360009,1773069900009,1773070260009,1773069360013,2026.03.09 15:16:00,734,4,5092.020000000000,5092.110000000000,8.999999999924,0.176745583568,-0.589999999999,-58.999999999924,-1.158541494438,1773069960013,1773069900009,BEARISH,1773068400000,5097.860134498907,5100.939793697540,1773069900105,2026.03.09 15:25:00,7791,96,5087.160000000000,5087.330000000000,540092,9.210490139474,9.465707920069,0.591998196777,14.257603073044,12.804348765322,1.145497576919,1.028738870731,5084.760000000000,5098.540000000000,514973,113873,7058,941,5099.942321428572,NO,1773069900105,5087.330000000000,0.591998196777,,0,9.210490139474,8.710490139474,8.210490139474,7.710490139474,7.210490139474
S31_V2,RamusenEA_s31_1767225600_37588,1773069300009,2026.03.09 15:15:00,DELAY_1,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1773069000000,1773068400000,5098.092858960092,5098.006647882235,5096.996287168074,5097.516043529305,5097.860134498907,5100.939793697540,BEARISH,5092.610000000000,5092.780000000000,6.337857142857,7.922321428571,1773069360009,1773069900009,1773070260009,1773069360013,2026.03.09 15:16:00,734,4,5092.020000000000,5092.110000000000,8.999999999924,0.176745583568,-0.589999999999,-58.999999999924,-1.158541494438,1773069960013,1773069960013,BEARISH,1773068400000,5097.860134498907,5100.939793697540,1773069960082,2026.03.09 15:26:00,8552,69,5092.690000000000,5092.750000000000,600069,-1.433615735994,-1.286315080422,-0.092144708667,14.257603073044,12.804348765322,1.145497576919,1.028738870731,5084.760000000000,5098.540000000000,514973,113873,7819,941,5099.942321428572,NO,1773069960082,5092.750000000000,-0.092144708667,,0,-1.433615735994,-1.933615735994,-2.433615735994,-2.933615735994,-3.433615735994
S31_V2,RamusenEA_s31_1767225600_37588,1773069300009,2026.03.09 15:15:00,DELAY_3,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1773069000000,1773068400000,5098.092858960092,5098.006647882235,5096.996287168074,5097.516043529305,5097.860134498907,5100.939793697540,BEARISH,5092.610000000000,5092.780000000000,6.337857142857,7.922321428571,1773069480009,1773069900009,1773070260009,1773069480009,2026.03.09 15:18:00,2260,0,5098.180000000000,5098.350000000000,17.000000000007,0.333446770617,5.570000000001,557.000000000062,10.937417159375,1773070080009,1773069900009,BEARISH,1773068400000,5097.860134498907,5100.939793697540,1773069900105,2026.03.09 15:25:00,7791,96,5087.160000000000,5087.330000000000,420096,21.282104594189,21.615196542354,1.369548067170,26.323119230784,0.451141387710,2.117434914910,0.036289868139,5084.760000000000,5098.410000000000,394977,224,5532,941,5106.102321428571,NO,1773069900105,5087.330000000000,1.369548067170,,0,21.282104594189,20.782104594189,20.282104594189,19.782104594189,19.282104594189
S31_V2,RamusenEA_s31_1767225600_37588,1773069300009,2026.03.09 15:15:00,DELAY_3,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1773069000000,1773068400000,5098.092858960092,5098.006647882235,5096.996287168074,5097.516043529305,5097.860134498907,5100.939793697540,BEARISH,5092.610000000000,5092.780000000000,6.337857142857,7.922321428571,1773069480009,1773069900009,1773070260009,1773069480009,2026.03.09 15:18:00,2260,0,5098.180000000000,5098.350000000000,17.000000000007,0.333446770617,5.570000000001,557.000000000062,10.937417159375,1773070080009,1773070080009,BEARISH,1773068400000,5097.860134498907,5100.939793697540,1773070080028,2026.03.09 15:28:00,9891,19,5092.110000000000,5092.280000000000,600019,11.572757336933,11.906011162622,0.744731207033,26.323119230784,0.451141387710,2.117434914910,0.036289868139,5084.760000000000,5098.410000000000,394977,224,7632,1615,5106.102321428571,NO,1773070080028,5092.280000000000,0.744731207033,,0,11.572757336933,11.072757336933,10.572757336933,10.072757336933,9.572757336933
S31_V2,RamusenEA_s31_1767225600_37588,1773069300009,2026.03.09 15:15:00,DELAY_5,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1773069000000,1773068400000,5098.092858960092,5098.006647882235,5096.996287168074,5097.516043529305,5097.860134498907,5100.939793697540,BEARISH,5092.610000000000,5092.780000000000,6.337857142857,7.922321428571,1773069600009,1773069900009,1773070260009,1773069600087,2026.03.09 15:20:00,3692,78,5093.210000000000,5093.380000000000,17.000000000007,0.333772145537,0.600000000000,60.000000000036,1.178177790957,1773070200087,1773069900009,BEARISH,1773068400000,5097.860134498907,5100.939793697540,1773069900105,2026.03.09 15:25:00,7791,96,5087.160000000000,5087.330000000000,300018,11.544782170773,11.878361649974,0.742206694466,16.590715874664,0.353411699106,1.333258199031,0.028400766370,5084.760000000000,5093.390000000000,274899,502,4100,941,5101.132321428571,NO,1773069900105,5087.330000000000,0.742206694466,,0,11.544782170773,11.044782170773,10.544782170773,10.044782170773,9.544782170773
S31_V2,RamusenEA_s31_1767225600_37588,1773069300009,2026.03.09 15:15:00,DELAY_5,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1773069000000,1773068400000,5098.092858960092,5098.006647882235,5096.996287168074,5097.516043529305,5097.860134498907,5100.939793697540,BEARISH,5092.610000000000,5092.780000000000,6.337857142857,7.922321428571,1773069600009,1773069900009,1773070260009,1773069600087,2026.03.09 15:20:00,3692,78,5093.210000000000,5093.380000000000,17.000000000007,0.333772145537,0.600000000000,60.000000000036,1.178177790957,1773070200087,1773070200087,BEARISH,1773068400000,5097.860134498907,5100.939793697540,1773070200093,2026.03.09 15:30:00,11606,6,5094.800000000000,5094.880000000000,600006,-3.278875208366,-3.033399793258,-0.210796799279,16.590715874664,5.792025068669,1.333258199031,0.465457004395,5084.760000000000,5096.160000000000,274899,577505,7915,1615,5101.132321428571,NO,1773070200093,5094.880000000000,-0.210796799279,,0,-3.278875208366,-3.778875208366,-4.278875208366,-4.778875208366,-5.278875208366
S31_V2,RamusenEA_s31_1767225600_37588,1773071100047,2026.03.09 15:45:00,CONTROL,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1773070800000,1773070200000,5097.607186579236,5097.373260724430,5093.303749263388,5095.438418840391,5095.523103297292,5099.733957965320,BEARISH,5076.090000000000,5076.220000000000,9.679285714286,12.099107142857,1773071100047,1773071700047,1773072060047,1773071100047,2026.03.09 15:45:00,0,0,5076.090000000000,5076.220000000000,13.000000000011,0.256099350788,0.000000000000,0.000000000000,0.000000000000,1773071700047,1773071700047,BEARISH,1773070200000,5095.523103297292,5099.733957965320,1773071700054,2026.03.09 15:55:00,11828,7,5074.350000000000,5074.490000000000,600007,3.152032371373,3.417941335520,0.132241163014,13.928043041001,17.257377233265,0.730425798834,0.905025459376,5069.020000000000,5084.850000000000,42777,190597,11829,704,5088.189107142857,NO,1773071700054,5074.490000000000,0.132241163014,,0,3.152032371373,2.652032371373,2.152032371373,1.652032371373,1.152032371373
S31_V2,RamusenEA_s31_1767225600_37588,1773071100047,2026.03.09 15:45:00,CONTROL,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1773070800000,1773070200000,5097.607186579236,5097.373260724430,5093.303749263388,5095.438418840391,5095.523103297292,5099.733957965320,BEARISH,5076.090000000000,5076.220000000000,9.679285714286,12.099107142857,1773071100047,1773071700047,1773072060047,1773071100047,2026.03.09 15:45:00,0,0,5076.090000000000,5076.220000000000,13.000000000011,0.256099350788,0.000000000000,0.000000000000,0.000000000000,1773071700047,1773071700047,BEARISH,1773070200000,5095.523103297292,5099.733957965320,1773071700054,2026.03.09 15:55:00,11828,7,5074.350000000000,5074.490000000000,600007,3.152032371373,3.417941335520,0.132241163014,13.928043041001,17.257377233265,0.730425798834,0.905025459376,5069.020000000000,5084.850000000000,42777,190597,11829,704,5088.189107142857,NO,1773071700054,5074.490000000000,0.132241163014,,0,3.152032371373,2.652032371373,2.152032371373,1.652032371373,1.152032371373
S31_V2,RamusenEA_s31_1767225600_37588,1773071100047,2026.03.09 15:45:00,DELAY_1,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1773070800000,1773070200000,5097.607186579236,5097.373260724430,5093.303749263388,5095.438418840391,5095.523103297292,5099.733957965320,BEARISH,5076.090000000000,5076.220000000000,9.679285714286,12.099107142857,1773071160047,1773071700047,1773072060047,1773071160062,2026.03.09 15:46:00,1298,15,5072.990000000000,5073.090000000000,10.000000000036,0.197120464259,-3.100000000000,-310.000000000036,-6.107062719535,1773071760062,1773071700047,BEARISH,1773070200000,5095.523103297292,5099.733957965320,1773071700054,2026.03.09 15:55:00,11828,7,5074.350000000000,5074.490000000000,539992,-2.956836106517,-2.720262406762,-0.123976090325,4.790074492556,23.378717482196,0.251051582909,1.225297026050,5070.560000000000,5084.850000000000,479642,130582,10531,704,5085.089107142857,NO,1773071700054,5074.490000000000,-0.123976090325,,0,-2.956836106517,-3.456836106517,-3.956836106517,-4.456836106517,-4.956836106517
S31_V2,RamusenEA_s31_1767225600_37588,1773071100047,2026.03.09 15:45:00,DELAY_1,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1773070800000,1773070200000,5097.607186579236,5097.373260724430,5093.303749263388,5095.438418840391,5095.523103297292,5099.733957965320,BEARISH,5076.090000000000,5076.220000000000,9.679285714286,12.099107142857,1773071160047,1773071700047,1773072060047,1773071160062,2026.03.09 15:46:00,1298,15,5072.990000000000,5073.090000000000,10.000000000036,0.197120464259,-3.100000000000,-310.000000000036,-6.107062719535,1773071760062,1773071760062,BEARISH,1773070200000,5095.523103297292,5099.733957965320,1773071760083,2026.03.09 15:56:00,13029,21,5074.290000000000,5074.520000000000,600021,-3.015972828649,-2.690694337125,-0.126455612132,10.802307909141,23.378717482196,0.566157479153,1.225297026050,5067.510000000000,5084.850000000000,561687,130582,11732,704,5085.089107142857,NO,1773071760083,5074.520000000000,-0.126455612132,,0,-3.015972828649,-3.515972828649,-4.015972828649,-4.515972828649,-5.015972828649
S31_V2,RamusenEA_s31_1767225600_37588,1773071100047,2026.03.09 15:45:00,DELAY_3,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1773070800000,1773070200000,5097.607186579236,5097.373260724430,5093.303749263388,5095.438418840391,5095.523103297292,5099.733957965320,BEARISH,5076.090000000000,5076.220000000000,9.679285714286,12.099107142857,1773071280047,1773071700047,1773072060047,1773071280115,2026.03.09 15:48:00,3687,68,5082.610000000000,5082.780000000000,17.000000000007,0.334468229945,6.520000000000,651.999999999953,12.844531913342,1773071880115,1773071700047,BEARISH,1773070200000,5095.523103297292,5099.733957965320,1773071700054,2026.03.09 15:55:00,11828,7,5074.350000000000,5074.490000000000,419939,15.976043804266,16.280732957613,0.671123902295,23.708291606083,4.407184497730,1.244926573685,0.231422035274,5070.560000000000,5084.850000000000,359589,10529,8142,704,5094.709107142857,NO,1773071700054,5074.490000000000,0.671123902295,,0,15.976043804266,15.476043804266,14.976043804266,14.476043804266,13.976043804266
S31_V2,RamusenEA_s31_1767225600_37588,1773071100047,2026.03.09 15:45:00,DELAY_3,EQUAL_HOLD,OK,XAUUSD,SELL,0.010000000000,1773070800000,1773070200000,5097.607186579236,5097.373260724430,5093.303749263388,5095.438418840391,5095.523103297292,5099.733957965320,BEARISH,5076.090000000000,5076.220000000000,9.679285714286,12.099107142857,1773071280047,1773071700047,1773072060047,1773071280115,2026.03.09 15:48:00,3687,68,5082.610000000000,5082.780000000000,17.000000000007,0.334468229945,6.520000000000,651.999999999953,12.844531913342,1773071880115,1773071880115,BEARISH,1773070200000,5095.523103297292,5099.733957965320,1773071880146,2026.03.09 15:58:00,15764,31,5073.240000000000,5073.410000000000,600031,18.100936329956,18.435101850494,0.760386687329,29.709145498080,4.407184497730,1.560032469928,0.231422035274,5067.510000000000,5084.850000000000,441634,10529,12078,704,5094.709107142857,NO,1773071880146,5073.410000000000,0.760386687329,,0,18.100936329956,17.600936329956,17.100936329956,16.600936329956,16.100936329956
S31_V2,RamusenEA_s31_1767225600_37588,1773071100047,2026.03.09 15:45:00,DELAY_5,COMMON_DEADLINE,OK,XAUUSD,SELL,0.010000000000,1773070800000,1773070200000,5097.607186579236,5097.373260724430,5093.303749263388,5095.438418840391,5095.523103297292,5099.733957965320,BEARISH,5076.090000000000,5076.220000000000,9.679285714286,12.099107142857,1773071400047,1773071700047,1773072060047,1773071400067,2026.03.09 15:50:00,5876,20,5081.760000000000,5081.930000000000,17.000000000007,0.334524173799,5.670000000000,567.000000000007,11.170014716051,1773072000067,1773071700047,BEARISH,1773070200000,5095.523103297292,5099.733957965320,1773071700054,2026.03.09 15:55:00,11828,7,5074.350000000000,5074.490000000000,299987,14.306067189321,14.610835237990,0.600870784444,22.039608324675,2.144926167312,1.157110176371,0.112611615379,5070.560000000000,5082.850000000000,239637,77827,5953,511,5093.859107142857,NO,1773071700054,5074.490000000000,0.600870784444,,0,14.306067189321,13.806067189321,13.306067189321,12.806067189321,12.306067189321
